config,MinSum
SPEA2-random_dense-UX,1.4066867155730283
SPEA2-random_dense-UX,1.3772502678605147
SPEA2-random_dense-UX,1.4053631656528272
SPEA2-random_dense-UX,1.404684963568227
SPEA2-random_dense-UX,1.399479082672208
SPEA2-random_dense-UX,1.403564746199128
SPEA2-random_dense-UX,1.418001264149152
SPEA2-random_dense-UX,1.3918604246735014
SPEA2-random_dense-UX,1.4034817706404379
SPEA2-random_dense-UX,1.3989699985442368
SPEA2-random_dense-UX,1.4045902605808065
SPEA2-random_dense-UX,1.4118036157419154
SPEA2-random_dense-UX,1.3975191375026654
SPEA2-random_dense-UX,1.402907993974544
SPEA2-random_dense-UX,1.3945588737246768
SPEA2-random_dense-UX,1.4025243603322188
SPEA2-random_dense-UX,1.409828682397618
SPEA2-random_dense-UX,1.39440818859
SPEA2-random_dense-UX,1.3983488487971163
SPEA2-random_dense-UX,1.4045121146953317
SPEA2-random_dense-UX,1.420278557468574
SPEA2-random_dense-UX,1.3816403125395706
SPEA2-random_dense-UX,1.3940739863446598
SPEA2-random_dense-UX,1.3986753536914063
SPEA2-random_dense-UX,1.3929163801070377
SPEA2-random_dense-UX,1.4099676329218092
SPEA2-random_dense-UX,1.4037525834557933
SPEA2-random_dense-UX,1.4154661355169453
SPEA2-random_dense-UX,1.3969022462430414
SPEA2-random_dense-UX,1.395099495267457
SPEA2-random_dense-UX,1.406156496440771
SPEA2-random_dense-HUX,1.402863985388775
SPEA2-random_dense-HUX,1.399885487195278
SPEA2-random_dense-HUX,1.4055427841836838
SPEA2-random_dense-HUX,1.3887987960215786
SPEA2-random_dense-HUX,1.4249497183703246
SPEA2-random_dense-HUX,1.4082925574025245
SPEA2-random_dense-HUX,1.3883695212443474
SPEA2-random_dense-HUX,1.4212433345306983
SPEA2-random_dense-HUX,1.408983360330881
SPEA2-random_dense-HUX,1.417930500880316
SPEA2-random_dense-HUX,1.4011681051228424
SPEA2-random_dense-HUX,1.3941210083565774
SPEA2-random_dense-HUX,1.4141169117356867
SPEA2-random_dense-HUX,1.4242113728858978
SPEA2-random_dense-HUX,1.4044365812240047
SPEA2-random_dense-HUX,1.3983053184991787
SPEA2-random_dense-HUX,1.4182940489873823
SPEA2-random_dense-HUX,1.4203882076952392
SPEA2-random_dense-HUX,1.398579590473794
SPEA2-random_dense-HUX,1.4230183678383581
SPEA2-random_dense-HUX,1.3936981015204095
SPEA2-random_dense-HUX,1.390485273107011
SPEA2-random_dense-HUX,1.4020037189141332
SPEA2-random_dense-HUX,1.3949446499574691
SPEA2-random_dense-HUX,1.3830791213950977
SPEA2-random_dense-HUX,1.4002949284926263
SPEA2-random_dense-HUX,1.4134187346508562
SPEA2-random_dense-HUX,1.4090809815064467
SPEA2-random_dense-HUX,1.4053059578316847
SPEA2-random_dense-HUX,1.399466126050337
SPEA2-random_dense-HUX,1.409032472998985
SPEA2-random_dense-1P,1.4525838148415222
SPEA2-random_dense-1P,1.4309138751166715
SPEA2-random_dense-1P,1.4667430596730069
SPEA2-random_dense-1P,1.4450588825345416
SPEA2-random_dense-1P,1.444955674485917
SPEA2-random_dense-1P,1.4643648816392234
SPEA2-random_dense-1P,1.4528607036600547
SPEA2-random_dense-1P,1.4585618603563713
SPEA2-random_dense-1P,1.4436761269323277
SPEA2-random_dense-1P,1.4657369025624327
SPEA2-random_dense-1P,1.4454286138186356
SPEA2-random_dense-1P,1.4677955966186964
SPEA2-random_dense-1P,1.4497901362501449
SPEA2-random_dense-1P,1.4515349075418178
SPEA2-random_dense-1P,1.4380356309872753
SPEA2-random_dense-1P,1.461095494840406
SPEA2-random_dense-1P,1.4572038478284868
SPEA2-random_dense-1P,1.4456022015258796
