algorithm,init,crossover,AvgHammingDistance
AGEMOEA2,random_dense,1P,116.97761363636364
NSGA2,random_dense,1P,115.8733662403693
UNSGA3,random_dense,1P,113.87658452961152
NSGA3,random_dense,1P,113.53297979564039
AGEMOEA2,random_dense,2P,112.44965344938748
UNSGA3,random_dense,2P,112.18761871507022
NSGA2,random_dense,2P,111.26034574468085
NSGA3,random_dense,2P,111.13107744079628
RVEA,random_dense,1P,109.93047035346487
RVEA,random_dense,2P,105.31602282786119
AGEMOEA2,random_dense,UX,105.03196083172148
SPEA2,random_dense,1P,104.6641062217924
AGEMOEA2,random_dense,HUX,103.73448581560282
SPEA2,random_dense,2P,102.81061976144424
SMSEMOA,random_dense,1P,102.56756656234472
NSGA2,random_dense,HUX,100.93361460348163
RVEA,random_dense,HUX,100.84140917151467
SMSEMOA,random_dense,2P,100.52786740386296
UNSGA3,random_dense,UX,100.36556185482625
UNSGA3,random_dense,HUX,100.24221562549732
NSGA3,random_dense,HUX,99.33281283816673
RVEA,random_dense,UX,98.40861239429952
NSGA3,random_dense,UX,97.39674274110445
NSGA2,random_dense,UX,97.27046179883946
SPEA2,random_dense,UX,92.6647993230174
SPEA2,random_dense,HUX,92.47776595744682
SMSEMOA,random_dense,HUX,81.84357027724049
SMSEMOA,random_dense,UX,81.51186063491222
NSGA2,greedy_ting,1P,58.765425531914886
NSGA2,greedy_ting,2P,54.08301579626048
AGEMOEA2,greedy_ting,2P,53.85122421018698
SMSEMOA,greedy_ting,2P,52.40145712443585
AGEMOEA2,greedy_ting,1P,51.22039651837524
AGEMOEA2,greedy_ting,HUX,50.52764184397163
AGEMOEA2,greedy_ting,UX,48.56582607994842
RVEA,greedy_ting,1P,48.34387612742351
NSGA2,greedy_ting,HUX,47.14728562217924
NSGA2,greedy_ting,UX,46.39473726627982
SMSEMOA,greedy_ting,1P,46.11952778515534
RVEA,greedy_ting,HUX,44.79008552722865
NSGA3,greedy_ting,2P,44.5401311871466
NSGA3,greedy_ting,1P,42.82236921603588
RVEA,greedy_ting,UX,42.66661681344202
UNSGA3,greedy_ting,2P,41.0416108497174
UNSGA3,greedy_ting,1P,40.96463844149466
RVEA,greedy_ting,2P,40.73506000210283
SMSEMOA,greedy_ting,HUX,39.01320196647324
SMSEMOA,greedy_ting,UX,38.83557624113475
NSGA3,greedy_ting,HUX,38.341687799544545
UNSGA3,greedy_ting,UX,37.03719496793535
SPEA2,greedy_ting,2P,35.4963362346873
NSGA3,greedy_ting,UX,35.21978878194304
SPEA2,greedy_ting,1P,34.78388056092843
UNSGA3,greedy_ting,HUX,33.356748914043486
SPEA2,greedy_ting,HUX,32.527695035460994
SPEA2,greedy_ting,UX,32.30660863958737
AGEMOEA2,greedy_multi,UX,12.931915699548679
AGEMOEA2,greedy_multi,HUX,12.581758542875564
AGEMOEA2,greedy_multi,2P,11.446780303030303
RVEA,greedy_multi,UX,11.342210921094527
NSGA3,greedy_multi,UX,11.176267371378447
SMSEMOA,greedy_multi,1P,11.160674881763999
SPEA2,greedy_multi,HUX,10.948318826563508
RVEA,greedy_multi,HUX,10.946471193739153
UNSGA3,greedy_multi,UX,10.940594533241093
SMSEMOA,greedy_multi,HUX,10.898917723332616
NSGA3,greedy_multi,HUX,10.8880173857368
SMSEMOA,greedy_multi,UX,10.881792210660313
SMSEMOA,greedy_multi,2P,10.768805792579244
UNSGA3,greedy_multi,HUX,10.613077160255594
AGEMOEA2,greedy_multi,1P,10.553002901353967
NSGA3,greedy_multi,2P,10.342692206906403
RVEA,greedy_multi,2P,10.257663477091953
SPEA2,greedy_multi,UX,10.18565441650548
UNSGA3,greedy_multi,2P,10.012744748817681
UNSGA3,greedy_multi,1P,9.781580389330397
RVEA,greedy_multi,1P,9.697515290896167
SPEA2,greedy_multi,1P,9.360854287556416
NSGA3,greedy_multi,1P,9.307406328173508
SPEA2,greedy_multi,2P,8.907067214700195
NSGA2,greedy_multi,HUX,8.637770807756963
NSGA2,greedy_multi,UX,8.404719835484984
NSGA2,greedy_multi,2P,7.309242010332301
NSGA2,greedy_multi,1P,6.977575659117792
