algorithm,Average Ranking (Algorithm)
AGEMOEA2,2.111111111111111
NSGA3,3.2222222222222223
NSGA2,3.5555555555555554
UNSGA3,3.5555555555555554
SMSEMOA,4.222222222222222
SPEA2,4.888888888888889
RVEA,6.444444444444445
