algorithm,init,crossover,Range
NSGA2,greedy_ting,UX,1.639092544549262
NSGA2,greedy_ting,HUX,1.6259226705080452
NSGA2,greedy_ting,1P,1.5892143232415123
NSGA2,greedy_ting,2P,1.5870409131162255
AGEMOEA2,greedy_ting,2P,1.5799291465353498
AGEMOEA2,greedy_ting,1P,1.5694008592555175
AGEMOEA2,greedy_ting,UX,1.5451027461920774
AGEMOEA2,greedy_ting,HUX,1.534343975818809
NSGA3,greedy_ting,1P,1.468287668058854
SMSEMOA,greedy_ting,1P,1.4682025890687043
SPEA2,greedy_ting,UX,1.4581059916054948
SMSEMOA,greedy_ting,2P,1.4533059163015047
SMSEMOA,greedy_ting,HUX,1.4446817085724064
SMSEMOA,greedy_ting,UX,1.442458580230056
UNSGA3,greedy_ting,1P,1.4381220915533752
NSGA3,greedy_ting,HUX,1.4333604417523274
UNSGA3,greedy_ting,UX,1.421509494619062
UNSGA3,greedy_ting,2P,1.413545101459729
NSGA3,greedy_ting,2P,1.4080911342806441
NSGA3,greedy_ting,UX,1.3955966488559566
SPEA2,greedy_ting,HUX,1.3932773298622112
UNSGA3,greedy_ting,HUX,1.368657433005006
RVEA,greedy_ting,1P,1.2856639818447664
RVEA,greedy_ting,2P,1.2681622565232296
RVEA,greedy_ting,HUX,1.2406979421654731
RVEA,greedy_ting,UX,1.2404603670373169
SPEA2,greedy_ting,1P,1.1654396082575686
NSGA2,random_dense,HUX,1.1325702277088041
SPEA2,greedy_ting,2P,1.1139197673893846
NSGA2,random_dense,UX,1.0998458365289796
SPEA2,random_dense,UX,0.8343789829005814
NSGA2,random_dense,2P,0.8231426008461036
SPEA2,random_dense,HUX,0.8198781330234631
AGEMOEA2,random_dense,HUX,0.8190628383007177
AGEMOEA2,random_dense,UX,0.7931854923472585
NSGA2,random_dense,1P,0.7533676954634397
UNSGA3,random_dense,UX,0.7182372436780906
UNSGA3,random_dense,HUX,0.7133361575490652
NSGA3,random_dense,UX,0.6966870241159187
NSGA3,random_dense,HUX,0.690617292945845
AGEMOEA2,random_dense,2P,0.6321119631727283
SMSEMOA,random_dense,UX,0.5755665095084105
SMSEMOA,random_dense,HUX,0.5715434694558288
UNSGA3,random_dense,2P,0.5640827285831724
SPEA2,random_dense,1P,0.5521304795425845
SPEA2,random_dense,2P,0.5450491015382015
AGEMOEA2,random_dense,1P,0.5437128130365652
NSGA3,random_dense,1P,0.5404363586974977
NSGA3,random_dense,2P,0.5274238492437362
UNSGA3,random_dense,1P,0.5001215643341215
SPEA2,greedy_multi,UX,0.4494574892020232
NSGA2,greedy_multi,HUX,0.4413510365773388
NSGA2,greedy_multi,UX,0.438674145933614
SPEA2,greedy_multi,HUX,0.43358001258717566
NSGA2,greedy_multi,2P,0.42622845338878734
SPEA2,greedy_multi,2P,0.4231216584195958
SPEA2,greedy_multi,1P,0.40972221381304796
SMSEMOA,random_dense,1P,0.40544283902169304
NSGA2,greedy_multi,1P,0.3999827319714185
NSGA3,greedy_multi,2P,0.39328632113042084
SMSEMOA,random_dense,2P,0.3884488835772132
AGEMOEA2,greedy_multi,HUX,0.38730974585328604
UNSGA3,greedy_multi,UX,0.38726535503306747
AGEMOEA2,greedy_multi,1P,0.38540294232969285
AGEMOEA2,greedy_multi,2P,0.3837149309015936
AGEMOEA2,greedy_multi,UX,0.3774190922756485
UNSGA3,greedy_multi,HUX,0.3734917535579557
NSGA3,greedy_multi,UX,0.36773135395754114
UNSGA3,greedy_multi,1P,0.3636744074978292
NSGA3,greedy_multi,HUX,0.3610464206891703
UNSGA3,greedy_multi,2P,0.3528233172919098
RVEA,random_dense,UX,0.34799010362159316
NSGA3,greedy_multi,1P,0.33027086517143356
RVEA,random_dense,HUX,0.3054340872314077
SMSEMOA,greedy_multi,UX,0.29815220194442826
RVEA,random_dense,1P,0.2910101759711347
SMSEMOA,greedy_multi,1P,0.2851076541332224
SMSEMOA,greedy_multi,HUX,0.28177640278202387
RVEA,greedy_multi,UX,0.2815635642904041
RVEA,random_dense,2P,0.27830458446066914
RVEA,greedy_multi,1P,0.2770862282876103
SMSEMOA,greedy_multi,2P,0.27364641985193777
RVEA,greedy_multi,2P,0.2722472584126493
RVEA,greedy_multi,HUX,0.26934147032163647
