algorithm,init,crossover,MaxToleranceRate
NSGA3,greedy_multi,UX,0.02040816326530612
NSGA2,greedy_multi,UX,0.02040816326530612
MOEAD_TCHE,greedy_multi,UX,0.018080620678023275
NSGA3,random_dense,UX,0.0014382396128932704
NSGA2,random_dense,UX,0.0007334962448435023
MOEAD_TCHE,random_dense,UX,7.73220363783422e-05
