tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,NSGA2,random_dense,1,263619445,264.0,61.0,105.17641843971631,236.60096873270973
Pseudo-Weights Match,Global,MOEAD_TCHE,random_dense,5,917265896,292.0,61.0,121.42464539007092,463.86666210829236
Mejor Knee Point,Global,NSGA3,random_dense,1,734820775,310.0,79.0,125.12234042553192,327.5914157990045
Compromise (ASF),Local,NSGA2,random_dense,1,263619445,192.0,41.0,75.35106382978724,116.56115135053585
Pseudo-Weights Match,Local,NSGA2,random_dense,1,263619445,521.0,114.0,200.54255319148936,1090.563792062772
Mejor Knee Point,Local,NSGA2,random_dense,1,263619445,419.0,94.0,165.13297872340425,693.6808982194055
Compromise (ASF),Local,NSGA2,random_dense,1,263619445,513.0,112.0,197.91843971631207,1045.4401564307643
Pseudo-Weights Match,Local,NSGA2,random_dense,1,263619445,513.0,112.0,197.91843971631207,1045.4401564307643
Mejor Knee Point,Local,NSGA2,random_dense,2,575137032,235.0,40.0,91.66134751773049,167.37113009908958
Compromise (ASF),Local,NSGA2,random_dense,1,263619445,505.0,111.0,195.2881205673759,1006.1093624251806
Pseudo-Weights Match,Local,NSGA2,random_dense,3,1328110355,228.0,43.0,86.32624113475177,146.62051707660603
Mejor Knee Point,Local,NSGA2,random_dense,5,363563807,485.0,102.0,187.82801418439718,901.6087187515719
Compromise (ASF),Local,NSGA2,random_dense,2,575137032,352.0,76.0,139.4964539007092,449.9450228861737
Pseudo-Weights Match,Local,NSGA2,random_dense,4,1617715427,358.0,78.0,142.00265957446808,482.38208512524494
Mejor Knee Point,Local,NSGA2,random_dense,1,263619445,345.0,81.0,134.8209219858156,399.9502005683819
Compromise (ASF),Local,NSGA2,random_dense,1,263619445,205.0,45.0,79.95744680851064,129.91308284291532
Pseudo-Weights Match,Local,NSGA2,random_dense,1,263619445,207.0,45.0,82.32978723404256,137.84514108948233
Mejor Knee Point,Local,NSGA2,random_dense,1,263619445,484.0,104.0,186.6968085106383,898.6208408782245
Compromise (ASF),Local,NSGA2,random_dense,1,263619445,207.0,45.0,82.32978723404256,137.84514108948233
Pseudo-Weights Match,Local,NSGA2,random_dense,1,263619445,508.0,112.0,196.70833333333334,1021.4370936761248
Mejor Knee Point,Local,NSGA2,random_dense,1,263619445,441.0,98.0,174.66666666666666,787.3179669030774
Compromise (ASF),Local,NSGA2,random_dense,1,263619445,517.0,114.0,199.00265957446808,1059.5044255507767
Pseudo-Weights Match,Local,NSGA2,random_dense,1,263619445,303.0,72.0,119.31648936170212,312.8439834200994
Mejor Knee Point,Local,NSGA2,random_dense,3,1328110355,468.0,105.0,180.02748226950354,772.5799184837283
Compromise (ASF),Local,NSGA2,random_dense,3,1328110355,365.0,82.0,142.92641843971631,438.1905077398018
Pseudo-Weights Match,Local,NSGA2,random_dense,4,1617715427,444.0,100.0,174.3209219858156,744.1665126251197
Mejor Knee Point,Local,NSGA2,random_dense,3,1328110355,398.0,88.0,154.81826241134752,554.6699856332668
