tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,NSGA2,greedy_multi,2,1921554383,43.0,0.27906976744186046,0.47589889493650006,0.006752984051074702
Pseudo-Weights Match,Global,NSGA2,greedy_multi,1,1196351451,41.0,0.2682926829268293,0.47500432451133023,0.006749035404320208
Mejor Knee Point,Global,NSGA3,greedy_multi,4,1061427335,28.0,0.2857142857142857,0.49908181357649445,0.008361211862046008
Compromise (ASF),Local,NSGA2,random_dense,2,2072686882,161.0,0.13043478260869565,0.32848222545262323,0.0017485701693041675
Pseudo-Weights Match,Local,NSGA2,random_dense,1,1347483950,159.0,0.25157232704402516,0.3939738614568,0.0028190691578620503
Mejor Knee Point,Local,NSGA2,random_dense,2,2072686882,242.0,0.21074380165289255,0.3351503428872868,0.0017592324594296242
Compromise (ASF),Local,NSGA2,random_dense,1,1347483950,218.0,0.18807339449541285,0.3199744615785022,0.0015140348989192958
Pseudo-Weights Match,Local,NSGA2,random_dense,2,2072686882,152.0,0.21052631578947367,0.37455090518850315,0.0023215923969724197
Mejor Knee Point,Local,NSGA2,random_dense,1,1347483950,166.0,0.15060240963855423,0.32975519097667266,0.0016969754286443848
Compromise (ASF),Local,NSGA2,random_dense,1,1347483950,224.0,0.19642857142857142,0.3197544642857143,0.0014925542763232287
Pseudo-Weights Match,Local,NSGA2,random_dense,4,1727289282,134.0,0.16417910447761194,0.37120911400444584,0.002463070098829516
Mejor Knee Point,Local,NSGA2,random_dense,4,1727289282,149.0,0.2348993288590604,0.3981210433623685,0.002741932396445846
Compromise (ASF),Local,NSGA2,random_dense,4,1727289282,129.0,0.2558139534883721,0.40373302545494527,0.0028476032054204257
Pseudo-Weights Match,Local,NSGA2,random_dense,3,1654529134,156.0,0.22435897435897437,0.39682214948172395,0.0031206744602773136
Mejor Knee Point,Local,NSGA2,random_dense,5,1986331002,104.0,0.28846153846153844,0.44188147845062736,0.0041252406213233405
Compromise (ASF),Local,NSGA2,random_dense,1,1347483950,149.0,0.15436241610738255,0.3544492836403446,0.002077790048606867
Pseudo-Weights Match,Local,NSGA2,random_dense,1,1347483950,205.0,0.1902439024390244,0.3408017644006227,0.0019147300732936204
Mejor Knee Point,Local,NSGA2,random_dense,2,2072686882,201.0,0.1791044776119403,0.30560407183938465,0.0014434174337219815
Compromise (ASF),Local,NSGA2,random_dense,1,1347483950,100.0,0.22,0.392136524822695,0.003457226041823846
Pseudo-Weights Match,Local,NSGA2,random_dense,1,1347483950,100.0,0.22,0.392136524822695,0.003457226041823846
Mejor Knee Point,Local,NSGA2,random_dense,1,1347483950,255.0,0.21176470588235294,0.3375156445556946,0.0017096808551249005
