generation,metodo,Range,MinSum,SumMin,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume,IGD+,GD+
1,SPEA2+random_dense+1P,0.5315957083030862,1.7040394233445206,1.5213819213667845,0.1760204081632653,0.1561079545290824,127.62836476466796,0.2486046853018199,0.726764966995756,0.8533766995503927
11,SPEA2+random_dense+1P,0.7665523379076327,1.6440774754221974,1.3366932135698741,0.19491525423728814,0.17010757869067075,127.8908567053514,0.30564680247346027,0.6452656998250266,0.8087640372719671
21,SPEA2+random_dense+1P,0.9147161974937907,1.6198012742628742,1.2900226225620064,0.19667590027700832,0.1741993779825793,126.80352192134107,0.32210413751020284,0.6159952830651574,0.7921426379054235
31,SPEA2+random_dense+1P,0.994297447442457,1.592722618627188,1.2470051736811196,0.19832402234636873,0.17685053796874473,128.50791424887169,0.3372128273205177,0.5972304675268402,0.7942271076323247
41,SPEA2+random_dense+1P,1.006744004391598,1.5863282346344652,1.2286378138729463,0.20245398773006135,0.17725757152092306,131.5668762088975,0.3443079304595068,0.5784367113588281,0.8119700505198539
51,SPEA2+random_dense+1P,0.9980879126433062,1.573517592427785,1.2069650686675608,0.20555555555555555,0.1802295084978743,132.58102433913604,0.3526188670817969,0.5823073664613919,0.8126900105049475
61,SPEA2+random_dense+1P,1.0174257290777589,1.5705929153105553,1.1822758607706028,0.20348837209302326,0.18113993516809124,133.79227111540942,0.36023867270173526,0.5791132977867527,0.8168668566076581
71,SPEA2+random_dense+1P,1.0569405646024514,1.5609176952847181,1.168069681834856,0.205607476635514,0.17979305470778095,134.8039208575113,0.3654344777541832,0.5681143664849371,0.8213275100029012
81,SPEA2+random_dense+1P,1.0472620586892831,1.5639099131399534,1.1708349315445008,0.2048780487804878,0.1802853481120515,133.29531350741456,0.3660761266754285,0.5786369492200341,0.8072013643595097
91,SPEA2+random_dense+1P,1.037140655549413,1.5605651932331381,1.1705282470213307,0.20909090909090908,0.18212475892127733,133.65156350741455,0.36609211572611755,0.5664967476723218,0.8042248798347594
101,SPEA2+random_dense+1P,1.0403861708040243,1.56101329719298,1.1609367673201687,0.20909090909090908,0.18356722660911964,134.90392085751128,0.37018731169167196,0.5568153487034346,0.8104425195519734
111,SPEA2+random_dense+1P,1.055457217270435,1.5527638701635915,1.15932739494315,0.2132564841498559,0.1848584660490094,134.4572735332044,0.37284908898922364,0.5451684338816368,0.8027705754280732
121,SPEA2+random_dense+1P,1.0825673553681232,1.5453187669683153,1.1291322090359257,0.21485411140583555,0.18512679333855786,135.09398372018055,0.3810388950366107,0.5327719332573724,0.8042711359540285
131,SPEA2+random_dense+1P,1.0487764997148645,1.5359003940017297,1.161273478515843,0.21629213483146068,0.18413126739823918,133.75232108317215,0.37085303860998065,0.5293339157318263,0.7947325368231442
141,SPEA2+random_dense+1P,1.0682298963622159,1.5221891765223337,1.1284663542947355,0.21671018276762402,0.185442597258496,132.52516924564796,0.38315818469068386,0.5439493580750601,0.7794209388866506
151,SPEA2+random_dense+1P,1.0474204413625463,1.524184535907119,1.1431934123146532,0.21787709497206703,0.1861387269241162,135.45161186331399,0.38202347903303835,0.5541094436931332,0.7975273967450152
161,SPEA2+random_dense+1P,1.039734440450092,1.5235407552023157,1.1424959930681988,0.2106537530266344,0.18344106190757917,134.6835025789813,0.38035765986807885,0.5576673102954428,0.7919753388228343
171,SPEA2+random_dense+1P,1.0805988273258356,1.541227893264307,1.1227194690504512,0.21637426900584794,0.18270429958623643,134.7629311734365,0.38596419638825064,0.5500034995689742,0.7921964672598228
181,SPEA2+random_dense+1P,1.1271967332127724,1.5214861298681144,1.0964653836559901,0.21761658031088082,0.1840037865895248,135.18519906511926,0.3930230669286229,0.524663444848141,0.7943137354138512
191,SPEA2+random_dense+1P,1.1110596076208554,1.5255126392592977,1.0969199926278317,0.21779141104294478,0.1835528946139409,133.29182785299807,0.3936033199045158,0.5199192971068712,0.7801836635915165
201,SPEA2+random_dense+1P,1.1113053879621932,1.515516313417266,1.0988623865979832,0.2175226586102719,0.18128652396597103,133.97157479045777,0.39305669917752806,0.5123750100693572,0.786761619782023
211,SPEA2+random_dense+1P,1.1002772961712024,1.5235915889843519,1.1035642332485491,0.21703296703296704,0.18412496162308795,135.00718488072212,0.39046334641747615,0.5047014882710422,0.7911842385157236
221,SPEA2+random_dense+1P,1.0755727205255152,1.494052733510602,1.1260785782587897,0.22006472491909385,0.18634090025952893,133.99080834945195,0.3886233540897282,0.5323058991322854,0.780428368527852
231,SPEA2+random_dense+1P,1.0528470953824836,1.5064425833022481,1.1346912098271877,0.2191780821917808,0.18606139264888427,135.10415054803352,0.3861793884290645,0.5426130951113676,0.7892279825783215
241,SPEA2+random_dense+1P,1.1084602925637086,1.493250661703708,1.093051850114747,0.2222222222222222,0.18684053685532595,134.36965667311412,0.39792254585537523,0.5242616835564831,0.7820429031445011
251,SPEA2+random_dense+1P,1.0264421667735808,1.5096478098341433,1.1212665415502008,0.2235294117647059,0.18863613233893478,136.36350741457122,0.39133661501362366,0.543455362322131,0.795429694733593
261,SPEA2+random_dense+1P,1.0463977710718222,1.4879847869416127,1.105765635584801,0.22903225806451613,0.18980682398817367,135.69593810444874,0.39582585910472257,0.5161779996987055,0.7876298226083401
271,SPEA2+random_dense+1P,1.0678532565142633,1.4797152890245029,1.1043115772330312,0.2260061919504644,0.189237426015225,136.22080109606705,0.39583515434764416,0.5136614464440306,0.7890615262799399
281,SPEA2+random_dense+1P,1.090343875404198,1.4992915544055483,1.0934744233146243,0.22629969418960244,0.1893524226070713,136.50213168923278,0.3997823379585156,0.5234442336150098,0.79513909390054
291,SPEA2+random_dense+1P,1.0879705037083385,1.4870946699890495,1.094055649947468,0.2267080745341615,0.1878094254780249,136.2237387169568,0.3981639225124614,0.5112826756509765,0.7930506468251415
301,SPEA2+random_dense+1P,1.085868959816303,1.487404225118793,1.0924354891916783,0.22364217252396165,0.18818847207772374,137.04792875564152,0.398959613451262,0.5213430401849576,0.7994991300468312
311,SPEA2+random_dense+1P,1.1069254042348062,1.506213314255498,1.0786420145194522,0.2222222222222222,0.1862013950817274,136.92113958736297,0.4019217385428358,0.5297814219229601,0.79760387761526
321,SPEA2+random_dense+1P,1.0522862399962278,1.4991425703142673,1.1100861882653064,0.225,0.1863162157130193,136.41731544165057,0.39589297392416567,0.5408541392835177,0.7908494802558579
331,SPEA2+random_dense+1P,1.1030824815905398,1.497323440837782,1.0927535632586418,0.22857142857142856,0.18661201078991832,135.6917512894906,0.40020577010486036,0.525996052032259,0.7865208398111669
341,SPEA2+random_dense+1P,1.102551481047727,1.5152446438747549,1.1012198578019015,0.2247557003257329,0.18618734154493605,136.38419165054802,0.39732499571560764,0.5406275013706711,0.794125049288343
351,SPEA2+random_dense+1P,1.1309420892140252,1.4962345012724207,1.073677422671891,0.22492401215805471,0.18423845977374792,136.29826321727916,0.4046529383864388,0.5186282973820951,0.7942536991100504
361,SPEA2+random_dense+1P,1.0964008284637718,1.4984409232247113,1.0987748331773934,0.22551928783382788,0.18414730046612846,135.6616215344939,0.39679281196133087,0.5179440846836018,0.7855934080014335
371,SPEA2+random_dense+1P,1.0869722609803978,1.5023296802372377,1.090037993581098,0.22189349112426035,0.18498078856736724,135.05049967762733,0.4008070115631136,0.5369689499616203,0.7800099788448764
381,SPEA2+random_dense+1P,1.0900825432306023,1.501660197711499,1.088052302436847,0.2257142857142857,0.18539351699566514,135.6014264990329,0.4002874107401013,0.5121569047379292,0.7840460978128497
391,SPEA2+random_dense+1P,1.0720573495164492,1.5000018806469382,1.1084463459775102,0.2247191011235955,0.18479835567515793,135.05650386847196,0.3938566567229751,0.5254309652697932,0.7807078221036019
401,SPEA2+random_dense+1P,1.100942318492676,1.5007437026003108,1.0803762515995092,0.22629969418960244,0.18259793070187677,136.7864039329465,0.4024522700469828,0.5378521706000144,0.7943884985244719
411,SPEA2+random_dense+1P,1.1288086509845916,1.4986750108065587,1.077933251770874,0.22629969418960244,0.18319185472336505,138.07522969052224,0.4007604789256931,0.5106818594878055,0.8039249733652217
421,SPEA2+random_dense+1P,1.0949406588252626,1.5045156768468917,1.0888826045201068,0.2257142857142857,0.1850340249483818,136.569527724049,0.40003894332502643,0.5240141232152906,0.7929928390337551
431,SPEA2+random_dense+1P,1.168340096577491,1.510972236030356,1.0530263584571362,0.22535211267605634,0.18386290908481365,135.17643052869118,0.4100389810931665,0.5000935115571489,0.7815078356011826
441,SPEA2+random_dense+1P,1.1497872847062525,1.4904500955989999,1.0509238020775085,0.23008849557522124,0.18537695370975898,136.14057462927144,0.4126430156756595,0.5009649124436046,0.7891368620198708
451,SPEA2+random_dense+1P,1.144962055000158,1.5004187022418078,1.0633094890092014,0.23008849557522124,0.18271259588357702,137.61729126370085,0.40673781068851744,0.5038050757243242,0.8022486985408012
461,SPEA2+random_dense+1P,1.1270068938155495,1.5043377436705911,1.079128528192482,0.22485207100591717,0.1847301969032336,136.4584461637653,0.4039367125000132,0.5173224724084468,0.7930112575654864
471,SPEA2+random_dense+1P,1.1128158808652957,1.5142209142957304,1.0906616303239534,0.22443181818181818,0.18281991040659565,136.69337927143778,0.3987677322852964,0.5238001126617853,0.7936073967175402
481,SPEA2+random_dense+1P,1.1133340907378744,1.5150084831195723,1.0743037457468891,0.22727272727272727,0.1849056285424911,136.3873106060606,0.40289081511506497,0.511908218447778,0.792944692720842
491,SPEA2+random_dense+1P,1.1016856169040041,1.5121415762113546,1.0838849890185398,0.2237960339943343,0.1854488557301689,136.66601789168277,0.4012489151681231,0.5123173271373934,0.7937616601179942
500,SPEA2+random_dense+1P,1.133976307167964,1.5014700900239673,1.0699037287674478,0.2237960339943343,0.18737547989033554,136.59907720825274,0.4052544385073862,0.5041390323814449,0.7908625494143603
1,SPEA2+random_dense+HUX,0.5217405440738949,1.6894471086052274,1.5291715940430683,0.1802030456852792,0.1558271640110275,127.5667432301741,0.2461989212151902,0.7360706906026189,0.8549594145014724
11,SPEA2+random_dense+HUX,0.8993195488133248,1.6323796280218856,1.3269965327710413,0.19106699751861042,0.17220531451341464,130.47021276595746,0.30879863381089984,0.6367324761280134,0.8235112711476313
21,SPEA2+random_dense+HUX,0.9880714062193976,1.5583577120039824,1.2015596476246277,0.2051948051948052,0.1793999566284329,133.47477433913602,0.3536878310693948,0.5906627279189001,0.8195734775064974
31,SPEA2+random_dense+HUX,1.1109647505418359,1.561206666437516,1.125914399773321,0.20810810810810812,0.18585089362646406,135.45315522243715,0.3795623199494048,0.5579667799865147,0.8187047889047205
