generation,metodo,Range,MinSum,SumMin,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume,IGD+,GD+
1,SMSEMOA+random_dense+UX,0.5448979161308773,1.6930331445056022,1.5348438583238053,0.1782178217821782,0.15717946819142048,128.26828658929722,0.24547189142254483,0.7534379460759363,0.8596200179755471
11,SMSEMOA+random_dense+UX,0.6552020666193511,1.6027940789014536,1.3943634539195764,0.2,0.17829137501925643,130.08812862669245,0.292564066442214,0.6573492949658706,0.8116984448316549
21,SMSEMOA+random_dense+UX,0.6816592574737239,1.5439768347426406,1.3126011951632826,0.20833333333333334,0.192448918731839,133.59708655705998,0.3240997908160412,0.6480096353692605,0.789454415823019
31,SMSEMOA+random_dense+UX,0.6876860045323341,1.5050196897747388,1.2576948148082185,0.22010869565217392,0.2033875569546561,134.67120003223727,0.34760053319206524,0.618573800433059,0.7624664729592273
41,SMSEMOA+random_dense+UX,0.6769100255836884,1.4716610595820498,1.2249203086936755,0.2336182336182336,0.21233374694229923,133.76012250161187,0.3614112931871196,0.5891747291933477,0.7264173034578968
51,SMSEMOA+random_dense+UX,0.718097944910329,1.45010769919697,1.2043151120723619,0.23699421965317918,0.2191184560558766,134.82721631205675,0.3717969875442957,0.5891747291933477,0.713629309081621
61,SMSEMOA+random_dense+UX,0.7337229449102068,1.4332749017192603,1.1886901120724838,0.24411764705882352,0.22553749361779923,136.76047711154095,0.3793202905221994,0.5891747291933477,0.7126650665963655
71,SMSEMOA+random_dense+UX,0.7337229449102068,1.4170391011685197,1.1886901120724838,0.24509803921568626,0.22964158244157495,137.7808228562218,0.3815933598903941,0.5891747291933477,0.7088282040353765
81,SMSEMOA+random_dense+UX,0.7502944874448241,1.4009164590445013,1.1721185695378664,0.2469879518072289,0.2326910595073907,139.0002699871051,0.38865709888667854,0.5891747291933477,0.7102912386569226
91,SMSEMOA+random_dense+UX,0.7502944874448241,1.3824412445112846,1.1721185695378664,0.25277777777777777,0.23527019208583103,138.0280020954223,0.39101894247060753,0.5891747291933477,0.6982517043389288
101,SMSEMOA+random_dense+UX,0.7502944874448241,1.388239464550763,1.1721185695378664,0.25073746312684364,0.23687661668604992,138.76650950999357,0.391340359696287,0.5891747291933477,0.6983845105299371
111,SMSEMOA+random_dense+UX,0.7502944874448241,1.389486712945361,1.1721185695378664,0.25748502994011974,0.23842749961983725,139.2940280464217,0.3922006316156322,0.5891747291933477,0.6990792815635588
121,SMSEMOA+random_dense+UX,0.7258674770150437,1.3914611237198524,1.1625211227050891,0.25149700598802394,0.23810835011842374,140.25959461637655,0.39497264079798045,0.5891747291933477,0.7023015119336287
131,SMSEMOA+random_dense+UX,0.6710561788218155,1.3859469927927965,1.1625211227050891,0.25075528700906347,0.2379013516995576,140.58127014829142,0.3953493016748825,0.5936870436967535,0.7031644838052729
141,SMSEMOA+random_dense+UX,0.6710561788218155,1.3861358642952397,1.1625211227050891,0.25219941348973607,0.23840993191045973,140.09492263056092,0.3950500331616291,0.5936870436967535,0.6980935441905328
151,SMSEMOA+random_dense+UX,0.6626028504637036,1.378821930758864,1.1606391302192023,0.2558139534883721,0.23951103998724332,140.75768052869117,0.39589767135667087,0.5936870436967535,0.7003938174409595
161,SMSEMOA+random_dense+UX,0.6626028504637036,1.38035578920576,1.1606391302192023,0.2529411764705882,0.24026215776875412,141.193721792392,0.39618689054573525,0.5936870436967535,0.7028683758597873
171,SMSEMOA+random_dense+UX,0.6544020785294903,1.3820301298200168,1.160975738340384,0.25149700598802394,0.23979057687094735,141.76160138620247,0.39645604781519606,0.5936870436967535,0.7055733264255022
181,SMSEMOA+random_dense+UX,0.6544020785294903,1.3780625303465301,1.160975738340384,0.2529411764705882,0.2402944634610853,143.2238999032882,0.3954735922611448,0.5936870436967535,0.7146426587509844
191,SMSEMOA+random_dense+UX,0.6544020785294903,1.3773357535716944,1.160975738340384,0.25219941348973607,0.2398179223131468,144.16847195357832,0.3966011107106039,0.5936870436967535,0.7210444428336762
201,SMSEMOA+random_dense+UX,0.6544020785294903,1.3850023726537155,1.160975738340384,0.2521489971346705,0.23917818644200906,143.2135759187621,0.39590184924782285,0.5936870436967535,0.7132927095617806
211,SMSEMOA+random_dense+UX,0.6622145785294292,1.3742596017789137,1.1531632383404453,0.25287356321839083,0.23811407693731984,144.45545212765958,0.39885331098587384,0.5936870436967535,0.7221565184651232
221,SMSEMOA+random_dense+UX,0.6622145785294292,1.3742596017789137,1.1531632383404453,0.25142857142857145,0.23917566084509453,144.74907720825271,0.39922905628697997,0.5936870436967535,0.72480959065922
231,SMSEMOA+random_dense+UX,0.6622145785294292,1.3742596017789137,1.1531632383404453,0.25210084033613445,0.2397634316133266,144.84283123791104,0.3991325354123352,0.5936870436967535,0.7252622649263116
