config,time_seg
SPEA2-random_dense-UX,339.5412001609802
SPEA2-random_dense-UX,299.060649394989
SPEA2-random_dense-UX,330.826046705246
SPEA2-random_dense-UX,332.09337186813354
SPEA2-random_dense-UX,250.6007695198059
SPEA2-random_dense-HUX,253.7382574081421
SPEA2-random_dense-HUX,259.25495862960815
SPEA2-random_dense-HUX,304.87629747390747
SPEA2-random_dense-HUX,335.46737360954285
SPEA2-random_dense-HUX,357.9661979675293
SPEA2-random_dense-1P,255.0912275314331
SPEA2-random_dense-1P,258.8362934589386
SPEA2-random_dense-1P,189.81520318984985
SPEA2-random_dense-1P,296.4880540370941
SPEA2-random_dense-1P,284.67470383644104
SPEA2-random_dense-2P,307.8604600429535
SPEA2-random_dense-2P,307.9349546432495
SPEA2-random_dense-2P,251.86683917045593
SPEA2-random_dense-2P,167.09017324447632
SPEA2-random_dense-2P,363.72443747520447
SPEA2-greedy_ting-UX,292.35361886024475
SPEA2-greedy_ting-UX,279.5339951515198
SPEA2-greedy_ting-UX,258.1828644275665
SPEA2-greedy_ting-UX,337.13441133499146
SPEA2-greedy_ting-UX,340.0385866165161
SPEA2-greedy_ting-HUX,282.3750021457672
SPEA2-greedy_ting-HUX,364.83239006996155
SPEA2-greedy_ting-HUX,299.27412962913513
SPEA2-greedy_ting-HUX,290.0100693702698
SPEA2-greedy_ting-HUX,238.86307168006897
SPEA2-greedy_ting-1P,259.8732862472534
SPEA2-greedy_ting-1P,204.44178700447083
SPEA2-greedy_ting-1P,344.86102533340454
SPEA2-greedy_ting-1P,184.89746737480164
SPEA2-greedy_ting-1P,331.7385139465332
SPEA2-greedy_ting-2P,272.026894569397
SPEA2-greedy_ting-2P,281.67321610450745
SPEA2-greedy_ting-2P,344.4744794368744
SPEA2-greedy_ting-2P,256.00323581695557
SPEA2-greedy_ting-2P,318.64560747146606
SPEA2-greedy_multi-UX,310.56953406333923
SPEA2-greedy_multi-UX,331.11804032325745
SPEA2-greedy_multi-UX,329.05263900756836
SPEA2-greedy_multi-UX,217.60405445098877
SPEA2-greedy_multi-UX,170.52644276618958
SPEA2-greedy_multi-HUX,281.6072313785553
SPEA2-greedy_multi-HUX,242.01241874694824
SPEA2-greedy_multi-HUX,288.5886528491974
SPEA2-greedy_multi-HUX,227.2800271511078
SPEA2-greedy_multi-HUX,215.106773853302
SPEA2-greedy_multi-1P,304.2924156188965
SPEA2-greedy_multi-1P,291.03071331977844
SPEA2-greedy_multi-1P,231.97196245193481
SPEA2-greedy_multi-1P,253.92102336883545
SPEA2-greedy_multi-1P,226.07601046562195
SPEA2-greedy_multi-2P,318.35503029823303
SPEA2-greedy_multi-2P,313.71857810020447
SPEA2-greedy_multi-2P,234.35945105552673
SPEA2-greedy_multi-2P,331.03691148757935
SPEA2-greedy_multi-2P,324.77759552001953
NSGA2-random_dense-UX,273.3469591140747
NSGA2-random_dense-UX,203.09201955795288
NSGA2-random_dense-UX,218.60864281654358
NSGA2-random_dense-UX,215.58261561393738
NSGA2-random_dense-UX,239.77358293533325
NSGA2-random_dense-HUX,246.53245210647583
NSGA2-random_dense-HUX,244.62731218338013
NSGA2-random_dense-HUX,218.54566097259521
NSGA2-random_dense-HUX,148.3946053981781
NSGA2-random_dense-HUX,159.5809190273285
NSGA2-random_dense-1P,258.61963391304016
NSGA2-random_dense-1P,244.7494101524353
NSGA2-random_dense-1P,264.14851784706116
NSGA2-random_dense-1P,245.46980381011963
NSGA2-random_dense-1P,149.62370419502258
NSGA2-random_dense-2P,231.2967164516449
NSGA2-random_dense-2P,230.955011844635
NSGA2-random_dense-2P,262.2256212234497
NSGA2-random_dense-2P,261.65620827674866
NSGA2-random_dense-2P,205.7273440361023
NSGA2-greedy_ting-UX,233.48061108589172
NSGA2-greedy_ting-UX,230.02035117149353
NSGA2-greedy_ting-UX,239.15695643424988
NSGA2-greedy_ting-UX,127.96809267997742
NSGA2-greedy_ting-UX,174.33647918701172
NSGA2-greedy_ting-HUX,229.01738834381104
NSGA2-greedy_ting-HUX,153.2238805294037
NSGA2-greedy_ting-HUX,171.08884286880493
NSGA2-greedy_ting-HUX,241.25784540176392
NSGA2-greedy_ting-HUX,259.9704945087433
NSGA2-greedy_ting-1P,232.60869145393372
NSGA2-greedy_ting-1P,246.9566457271576
NSGA2-greedy_ting-1P,219.44959568977356
NSGA2-greedy_ting-1P,265.27643394470215
NSGA2-greedy_ting-1P,265.81561613082886
NSGA2-greedy_ting-2P,206.468279838562
NSGA2-greedy_ting-2P,208.394136428833
