algorithm,init,crossover,GD+
NSGA3,greedy_multi,UX,0.03158408662181889
MOEAD_TCHE,greedy_multi,UX,0.05721072319342203
NSGA2,greedy_multi,UX,0.06411297266287765
NSGA3,random_dense,UX,0.6511562601300624
MOEAD_TCHE,random_dense,UX,0.758919554881652
NSGA2,random_dense,UX,0.8450298492166407
