algorithm,init,crossover,AvgToleranceRate
NSGA3,greedy_multi,UX,0.05597284753607532
MOEAD_TCHE,greedy_multi,UX,0.05594943564180845
NSGA2,greedy_multi,UX,0.04766522848045636
NSGA3,random_dense,UX,0.007089864890774508
MOEAD_TCHE,random_dense,UX,0.00598584213604913
NSGA2,random_dense,UX,0.005847052554406532
