algorithm,init,crossover,IGD+
NSGA2,greedy_multi,HUX,0.0008762538651823773
NSGA2,greedy_multi,UX,0.000884965694639863
NSGA2,greedy_multi,1P,0.0010670391573404906
NSGA2,greedy_multi,2P,0.0011381751011631692
NSGA3,greedy_multi,HUX,0.0013379845947431314
NSGA3,greedy_multi,1P,0.0018246107947049194
MOEAD_TCHE,greedy_multi,UX,0.002069352994940488
MOEAD_TCHE,greedy_multi,1P,0.0022024761896473283
MOEAD_TCHE,greedy_multi,HUX,0.0022367764721583313
NSGA2,greedy_ting,HUX,0.002271931273745995
MOEAD_TCHE,greedy_multi,2P,0.0028351938341809844
SPEA2,greedy_multi,HUX,0.0029188382030998347
NSGA3,greedy_multi,UX,0.0030958412397803538
NSGA3,greedy_multi,2P,0.003254310593819954
NSGA2,greedy_ting,UX,0.0033016645343325315
AGEMOEA2,greedy_multi,1P,0.0034555638107427525
SMSEMOA,greedy_multi,HUX,0.0036279331349574804
AGEMOEA2,greedy_multi,UX,0.004289946880426297
NSGA2,greedy_ting,2P,0.004611492705334389
SPEA2,greedy_multi,UX,0.004640645264380244
AGEMOEA2,greedy_multi,2P,0.004672939354384657
SMSEMOA,greedy_multi,2P,0.004759352915752276
NSGA3,greedy_ting,UX,0.004895686303090812
RVEA,greedy_multi,HUX,0.005078528780878757
RVEA,greedy_multi,UX,0.005165979414550966
AGEMOEA2,greedy_multi,HUX,0.005268087597134927
SPEA2,greedy_multi,1P,0.005434191991422004
RVEA,greedy_multi,2P,0.005871470035991576
NSGA2,greedy_ting,1P,0.006559835349061356
RVEA,greedy_multi,1P,0.006608138852311136
NSGA3,greedy_ting,HUX,0.006644611273366205
SPEA2,greedy_multi,2P,0.007177328315406151
SMSEMOA,greedy_multi,1P,0.008052257262114174
AGEMOEA2,greedy_ting,HUX,0.008318777513970192
AGEMOEA2,greedy_ting,UX,0.00842622206260853
SMSEMOA,greedy_multi,UX,0.00887751631084594
AGEMOEA2,greedy_ting,2P,0.009426707419059084
SMSEMOA,greedy_ting,HUX,0.010337078651662165
AGEMOEA2,greedy_ting,1P,0.011161294275285508
SMSEMOA,greedy_ting,1P,0.011235955056154526
SMSEMOA,greedy_ting,UX,0.011235955056154526
SMSEMOA,greedy_ting,2P,0.011685393258400708
NSGA3,greedy_ting,2P,0.021721283730705202
NSGA3,greedy_ting,1P,0.022692550478320927
MOEAD_TCHE,greedy_ting,UX,0.029196879084613214
MOEAD_TCHE,greedy_ting,2P,0.03394828393711129
MOEAD_TCHE,greedy_ting,HUX,0.04295883014758149
RVEA,greedy_ting,UX,0.04313660751311767
MOEAD_TCHE,greedy_ting,1P,0.04460870588916942
RVEA,greedy_ting,1P,0.061716003591822256
SPEA2,greedy_ting,2P,0.06420326686649105
RVEA,greedy_ting,2P,0.0689710607326032
SPEA2,greedy_ting,UX,0.08371714088212898
SPEA2,greedy_ting,1P,0.08499654629164995
RVEA,greedy_ting,HUX,0.11107629113092317
SPEA2,greedy_ting,HUX,0.16055341390691819
NSGA2,random_dense,UX,0.35570799355950317
NSGA2,random_dense,HUX,0.3859608544812433
SPEA2,random_dense,HUX,0.41504110171401615
SPEA2,random_dense,UX,0.4153725645023284
NSGA3,random_dense,HUX,0.4352767452620466
NSGA3,random_dense,UX,0.43564191576803646
AGEMOEA2,random_dense,HUX,0.466812759259107
AGEMOEA2,random_dense,UX,0.47761756948757944
SMSEMOA,random_dense,UX,0.4908206864813537
SMSEMOA,random_dense,HUX,0.5011209854278762
SPEA2,random_dense,2P,0.5753453715514291
NSGA2,random_dense,2P,0.5887438989849411
MOEAD_TCHE,random_dense,UX,0.5945453059199715
RVEA,random_dense,HUX,0.6076965465849549
RVEA,random_dense,UX,0.6103765408418368
NSGA3,random_dense,2P,0.6146896390486297
AGEMOEA2,random_dense,2P,0.6157642900238249
SPEA2,random_dense,1P,0.6299159697562936
SMSEMOA,random_dense,2P,0.638801086772232
MOEAD_TCHE,random_dense,HUX,0.6473786924781292
MOEAD_TCHE,random_dense,2P,0.6492948692258401
NSGA3,random_dense,1P,0.6533962296878221
SMSEMOA,random_dense,1P,0.6643893277011972
NSGA2,random_dense,1P,0.671155605968063
AGEMOEA2,random_dense,1P,0.6834285524160338
MOEAD_TCHE,random_dense,1P,0.6958455483435684
RVEA,random_dense,2P,0.7092194495682066
RVEA,random_dense,1P,0.727405861840021
