algorithm,init,crossover,Average Ranking Overall
AGEMOEA2,greedy_ting,HUX,20.77777777777778
AGEMOEA2,greedy_ting,UX,21.555555555555557
AGEMOEA2,random_dense,UX,24.555555555555557
AGEMOEA2,random_dense,HUX,24.77777777777778
SMSEMOA,greedy_ting,HUX,25.555555555555557
SMSEMOA,greedy_ting,1P,25.61111111111111
NSGA3,random_dense,HUX,25.88888888888889
AGEMOEA2,greedy_ting,2P,26.0
SMSEMOA,greedy_ting,UX,26.055555555555557
SMSEMOA,greedy_ting,2P,26.444444444444443
NSGA3,random_dense,UX,26.555555555555557
NSGA2,random_dense,HUX,27.22222222222222
SPEA2,random_dense,UX,27.77777777777778
NSGA2,greedy_ting,HUX,27.88888888888889
NSGA2,random_dense,UX,28.0
SPEA2,random_dense,HUX,28.333333333333332
NSGA2,greedy_ting,UX,29.0
SMSEMOA,random_dense,UX,29.77777777777778
NSGA3,greedy_ting,UX,30.0
AGEMOEA2,greedy_ting,1P,30.11111111111111
SMSEMOA,random_dense,HUX,30.22222222222222
NSGA3,greedy_ting,HUX,30.88888888888889
NSGA2,greedy_ting,1P,31.11111111111111
NSGA2,greedy_ting,2P,31.77777777777778
NSGA3,greedy_ting,2P,31.77777777777778
SPEA2,greedy_ting,UX,35.0
AGEMOEA2,random_dense,2P,35.55555555555556
SPEA2,greedy_ting,HUX,36.111111111111114
NSGA3,random_dense,2P,36.44444444444444
SPEA2,random_dense,2P,37.333333333333336
NSGA3,greedy_ting,1P,38.0
SMSEMOA,random_dense,2P,38.666666666666664
NSGA2,random_dense,2P,39.55555555555556
AGEMOEA2,greedy_multi,UX,40.0
SPEA2,random_dense,1P,40.44444444444444
SPEA2,greedy_multi,HUX,40.55555555555556
AGEMOEA2,random_dense,1P,40.77777777777778
SPEA2,greedy_ting,1P,40.77777777777778
RVEA,greedy_ting,UX,41.0
SPEA2,greedy_ting,2P,41.22222222222222
NSGA3,random_dense,1P,41.44444444444444
SMSEMOA,random_dense,1P,41.44444444444444
SPEA2,greedy_multi,UX,41.666666666666664
AGEMOEA2,greedy_multi,HUX,42.333333333333336
RVEA,random_dense,HUX,43.333333333333336
RVEA,greedy_ting,HUX,43.888888888888886
NSGA2,random_dense,1P,44.111111111111114
NSGA3,greedy_multi,UX,45.0
NSGA3,greedy_multi,HUX,45.666666666666664
RVEA,random_dense,UX,46.22222222222222
AGEMOEA2,greedy_multi,2P,46.44444444444444
MOEAD_TCHE,greedy_ting,UX,48.22222222222222
NSGA3,greedy_multi,2P,48.22222222222222
SPEA2,greedy_multi,2P,48.55555555555556
MOEAD_TCHE,greedy_ting,HUX,48.55555555555556
AGEMOEA2,greedy_multi,1P,48.55555555555556
MOEAD_TCHE,greedy_ting,2P,49.111111111111114
RVEA,greedy_ting,2P,50.111111111111114
SPEA2,greedy_multi,1P,51.0
NSGA2,greedy_multi,HUX,51.44444444444444
NSGA3,greedy_multi,1P,51.55555555555556
RVEA,greedy_ting,1P,51.666666666666664
MOEAD_TCHE,greedy_ting,1P,51.666666666666664
NSGA2,greedy_multi,UX,52.111111111111114
MOEAD_TCHE,random_dense,UX,54.44444444444444
MOEAD_TCHE,random_dense,2P,54.77777777777778
RVEA,random_dense,2P,54.77777777777778
SMSEMOA,greedy_multi,1P,55.111111111111114
SMSEMOA,greedy_multi,HUX,55.22222222222222
MOEAD_TCHE,greedy_multi,HUX,55.333333333333336
SMSEMOA,greedy_multi,2P,56.0
MOEAD_TCHE,random_dense,HUX,56.44444444444444
SMSEMOA,greedy_multi,UX,57.333333333333336
MOEAD_TCHE,greedy_multi,2P,57.55555555555556
RVEA,random_dense,1P,57.888888888888886
MOEAD_TCHE,greedy_multi,UX,58.111111111111114
MOEAD_TCHE,random_dense,1P,58.44444444444444
NSGA2,greedy_multi,2P,58.77777777777778
MOEAD_TCHE,greedy_multi,1P,59.0
NSGA2,greedy_multi,1P,59.666666666666664
RVEA,greedy_multi,UX,63.22222222222222
RVEA,greedy_multi,HUX,63.77777777777778
RVEA,greedy_multi,2P,65.88888888888889
RVEA,greedy_multi,1P,66.77777777777777
