config,SumMin
NSGA3-random_dense-1P,1.271600408417965
NSGA3-random_dense-1P,1.2357687403508475
NSGA3-random_dense-1P,1.247737836087324
NSGA3-random_dense-1P,1.2980009206491623
NSGA3-random_dense-2P,1.206279996728584
NSGA3-random_dense-2P,1.2437026335528087
NSGA3-random_dense-2P,1.2416898167724215
NSGA3-random_dense-2P,1.2485961498883689
NSGA3-random_dense-2P,1.2188064236082459
NSGA3-greedy_ting-UX,0.8921142597546408
NSGA3-greedy_ting-UX,0.8694390290845009
NSGA3-greedy_ting-UX,0.9001623494401441
NSGA3-greedy_ting-UX,0.8938007496296078
NSGA3-greedy_ting-UX,0.87604735775252
NSGA3-greedy_ting-HUX,0.869602215088538
NSGA3-greedy_ting-HUX,0.9093762541254202
NSGA3-greedy_ting-HUX,0.8849466046571962
NSGA3-greedy_ting-HUX,0.9083211055219738
NSGA3-greedy_ting-HUX,0.831751827498345
NSGA3-greedy_ting-1P,0.8485553473799
NSGA3-greedy_ting-1P,0.8801431694684344
NSGA3-greedy_ting-1P,0.8926968460039186
NSGA3-greedy_ting-1P,0.8456227069607622
NSGA3-greedy_ting-1P,0.8491642954286795
NSGA3-greedy_ting-2P,0.9059834075742705
NSGA3-greedy_ting-2P,0.901005310816444
NSGA3-greedy_ting-2P,0.8624532516491582
NSGA3-greedy_ting-2P,0.8841713639017448
NSGA3-greedy_ting-2P,0.8348033882711885
NSGA3-greedy_multi-UX,1.4393239517448833
NSGA3-greedy_multi-UX,1.4387159046267004
NSGA3-greedy_multi-UX,1.4542919543454313
NSGA3-greedy_multi-UX,1.436865364166636
NSGA3-greedy_multi-UX,1.4339725399194547
NSGA3-greedy_multi-HUX,1.445432593170224
NSGA3-greedy_multi-HUX,1.4372109862773677
NSGA3-greedy_multi-HUX,1.438579340921401
NSGA3-greedy_multi-HUX,1.4594729428765398
NSGA3-greedy_multi-HUX,1.4365788403534316
NSGA3-greedy_multi-1P,1.462323196070622
NSGA3-greedy_multi-1P,1.4626451991939036
NSGA3-greedy_multi-1P,1.4639319435729703
NSGA3-greedy_multi-1P,1.4711615852309534
NSGA3-greedy_multi-1P,1.4540915550454185
NSGA3-greedy_multi-2P,1.4511051966601685
NSGA3-greedy_multi-2P,1.4426582134469728
NSGA3-greedy_multi-2P,1.4435264286355274
NSGA3-greedy_multi-2P,1.4425076107313917
NSGA3-greedy_multi-2P,1.44911330559094
UNSGA3-random_dense-UX,1.1027900747049357
UNSGA3-random_dense-UX,1.0930200808139658
UNSGA3-random_dense-UX,1.124793240842184
UNSGA3-random_dense-UX,1.086299799895689
UNSGA3-random_dense-UX,1.0979978215447093
UNSGA3-random_dense-HUX,1.1152360264651495
UNSGA3-random_dense-HUX,1.1171824435206095
UNSGA3-random_dense-HUX,1.0880911397717006
UNSGA3-random_dense-HUX,1.0771905255979357
UNSGA3-random_dense-HUX,1.1017233689583323
UNSGA3-random_dense-1P,1.2811307391279376
UNSGA3-random_dense-1P,1.2235170477212467
UNSGA3-random_dense-1P,1.2668118629700262
UNSGA3-random_dense-1P,1.27947558004272
UNSGA3-random_dense-1P,1.2800787752825555
UNSGA3-random_dense-2P,1.1994591823557157
UNSGA3-random_dense-2P,1.2430797405567835
UNSGA3-random_dense-2P,1.2313761674880592
UNSGA3-random_dense-2P,1.2109162855386226
UNSGA3-random_dense-2P,1.2224161618287337
UNSGA3-greedy_ting-UX,0.81376484648431
UNSGA3-greedy_ting-UX,0.9229956144403565
UNSGA3-greedy_ting-UX,0.893211204787345
UNSGA3-greedy_ting-UX,0.900027657319453
UNSGA3-greedy_ting-UX,0.8778971642899456
UNSGA3-greedy_ting-HUX,0.9948341716970917
UNSGA3-greedy_ting-HUX,0.8858246708029193
UNSGA3-greedy_ting-HUX,0.8853691563032114
UNSGA3-greedy_ting-HUX,0.9078907134072041
UNSGA3-greedy_ting-HUX,0.8456740657061005
UNSGA3-greedy_ting-1P,0.873938068055319
UNSGA3-greedy_ting-1P,0.8773373076077864
UNSGA3-greedy_ting-1P,0.9118157895924267
UNSGA3-greedy_ting-1P,0.8708882167714752
UNSGA3-greedy_ting-1P,0.892202073530047
UNSGA3-greedy_ting-2P,0.8564268703470906
UNSGA3-greedy_ting-2P,0.8787820505997803
UNSGA3-greedy_ting-2P,0.878053963724437
UNSGA3-greedy_ting-2P,0.8842821224558611
UNSGA3-greedy_ting-2P,0.8931545612637906
UNSGA3-greedy_multi-UX,1.4461645625036026
UNSGA3-greedy_multi-UX,1.4434384943349006
UNSGA3-greedy_multi-UX,1.4349060941744034
UNSGA3-greedy_multi-UX,1.4436148285462689
UNSGA3-greedy_multi-UX,1.444548959686681
UNSGA3-greedy_multi-HUX,1.4439920957651462
UNSGA3-greedy_multi-HUX,1.4347009961705857
UNSGA3-greedy_multi-HUX,1.454314499923227
UNSGA3-greedy_multi-HUX,1.4540548740105759
UNSGA3-greedy_multi-HUX,1.4547489186227964
UNSGA3-greedy_multi-1P,1.461185533534461
UNSGA3-greedy_multi-1P,1.4595817107656774
UNSGA3-greedy_multi-1P,1.4450360321689744
UNSGA3-greedy_multi-1P,1.4623117547542306
UNSGA3-greedy_multi-1P,1.4436011741159003
UNSGA3-greedy_multi-2P,1.4523415356415497
UNSGA3-greedy_multi-2P,1.45368631181858
UNSGA3-greedy_multi-2P,1.4538881689959124
UNSGA3-greedy_multi-2P,1.4617279953398252
UNSGA3-greedy_multi-2P,1.453466712742567
AGEMOEA2-random_dense-UX,1.061339537676056
AGEMOEA2-random_dense-UX,1.0788809351314999
AGEMOEA2-random_dense-UX,1.068431612416245
AGEMOEA2-random_dense-UX,1.0966244844196666
AGEMOEA2-random_dense-UX,1.0818015620094945
AGEMOEA2-random_dense-HUX,1.0916117862924097
AGEMOEA2-random_dense-HUX,1.084030358386322
AGEMOEA2-random_dense-HUX,1.0918597463856812
AGEMOEA2-random_dense-HUX,1.0665106975035248
AGEMOEA2-random_dense-HUX,1.0512058290655042
AGEMOEA2-random_dense-1P,1.2574266229187367
AGEMOEA2-random_dense-1P,1.2783859872404086
AGEMOEA2-random_dense-1P,1.253085106350532
AGEMOEA2-random_dense-1P,1.2439908331451377
AGEMOEA2-random_dense-1P,1.2580038856024853
