config,MinSum
NSGA3-random_dense-1P,1.4445463221748236
NSGA3-random_dense-1P,1.4468385207182215
NSGA3-random_dense-1P,1.4402897858357138
NSGA3-random_dense-1P,1.4508866724245852
NSGA3-random_dense-2P,1.4078807184575677
NSGA3-random_dense-2P,1.4269544770514648
NSGA3-random_dense-2P,1.4091832505547497
NSGA3-random_dense-2P,1.4242082217433225
NSGA3-random_dense-2P,1.4152928760802386
NSGA3-greedy_ting-UX,1.5069594485236657
NSGA3-greedy_ting-UX,1.4652262955190973
NSGA3-greedy_ting-UX,1.465286737537553
NSGA3-greedy_ting-UX,1.4604286678063907
NSGA3-greedy_ting-UX,1.4887342049659245
NSGA3-greedy_ting-HUX,1.4779920382350784
NSGA3-greedy_ting-HUX,1.503176027487713
NSGA3-greedy_ting-HUX,1.4815210706994832
NSGA3-greedy_ting-HUX,1.4909107448425754
NSGA3-greedy_ting-HUX,1.4975899563865183
NSGA3-greedy_ting-1P,1.5202697147606152
NSGA3-greedy_ting-1P,1.5457986556645356
NSGA3-greedy_ting-1P,1.5223798864273115
NSGA3-greedy_ting-1P,1.4961598825782505
NSGA3-greedy_ting-1P,1.5310351186979987
NSGA3-greedy_ting-2P,1.5052697500002663
NSGA3-greedy_ting-2P,1.5010089622622005
NSGA3-greedy_ting-2P,1.5053168584685725
NSGA3-greedy_ting-2P,1.5030111764461687
NSGA3-greedy_ting-2P,1.4930265578357484
NSGA3-greedy_multi-UX,1.4971521657504527
NSGA3-greedy_multi-UX,1.4972884875675836
NSGA3-greedy_multi-UX,1.5023914641893064
NSGA3-greedy_multi-UX,1.4951300614450673
NSGA3-greedy_multi-UX,1.4952692422056821
NSGA3-greedy_multi-HUX,1.5007517857021708
NSGA3-greedy_multi-HUX,1.4976763598438234
NSGA3-greedy_multi-HUX,1.5020309777422987
NSGA3-greedy_multi-HUX,1.5091825793960445
NSGA3-greedy_multi-HUX,1.4986350393698284
NSGA3-greedy_multi-1P,1.5050855832669885
NSGA3-greedy_multi-1P,1.511395370692072
NSGA3-greedy_multi-1P,1.5100413136789643
NSGA3-greedy_multi-1P,1.5112673585089191
NSGA3-greedy_multi-1P,1.5059462173323694
NSGA3-greedy_multi-2P,1.5066892589939807
NSGA3-greedy_multi-2P,1.502065003608578
NSGA3-greedy_multi-2P,1.5024866671203234
NSGA3-greedy_multi-2P,1.5067618062376429
NSGA3-greedy_multi-2P,1.5075524366572524
UNSGA3-random_dense-UX,1.3654176986915323
UNSGA3-random_dense-UX,1.3736928956250152
UNSGA3-random_dense-UX,1.3724505017257445
UNSGA3-random_dense-UX,1.3870315759526988
UNSGA3-random_dense-UX,1.3772650920390008
UNSGA3-random_dense-HUX,1.3564226374073036
UNSGA3-random_dense-HUX,1.366484768284225
UNSGA3-random_dense-HUX,1.385849247806886
UNSGA3-random_dense-HUX,1.3560171438222464
UNSGA3-random_dense-HUX,1.3482724703755766
UNSGA3-random_dense-1P,1.4360325099471833
UNSGA3-random_dense-1P,1.4233649935279884
UNSGA3-random_dense-1P,1.43277742323436
UNSGA3-random_dense-1P,1.444222736759512
UNSGA3-random_dense-1P,1.4444098182475122
UNSGA3-random_dense-2P,1.4054913576629302
UNSGA3-random_dense-2P,1.4204815573985348
UNSGA3-random_dense-2P,1.4055714106415482
UNSGA3-random_dense-2P,1.420351136783332
UNSGA3-random_dense-2P,1.4053099782713805
UNSGA3-greedy_ting-UX,1.4731863085912453
UNSGA3-greedy_ting-UX,1.516469188092798
UNSGA3-greedy_ting-UX,1.4933084895368656
UNSGA3-greedy_ting-UX,1.484044665068975
UNSGA3-greedy_ting-UX,1.4921499739829533
UNSGA3-greedy_ting-HUX,1.5223164508039988
UNSGA3-greedy_ting-HUX,1.4742261728350825
UNSGA3-greedy_ting-HUX,1.4748684022040282
UNSGA3-greedy_ting-HUX,1.4784463064356865
UNSGA3-greedy_ting-HUX,1.4591714884158131
UNSGA3-greedy_ting-1P,1.5304090076916539
UNSGA3-greedy_ting-1P,1.5084206258947452
UNSGA3-greedy_ting-1P,1.5342460480203857
UNSGA3-greedy_ting-1P,1.5449399011550962
UNSGA3-greedy_ting-1P,1.5504478918308646
UNSGA3-greedy_ting-2P,1.5075789877000583
UNSGA3-greedy_ting-2P,1.52722016272535
UNSGA3-greedy_ting-2P,1.5081354146587238
UNSGA3-greedy_ting-2P,1.5152344725438778
UNSGA3-greedy_ting-2P,1.5204938580489775
UNSGA3-greedy_multi-UX,1.500829562166806
UNSGA3-greedy_multi-UX,1.5029716490965461
UNSGA3-greedy_multi-UX,1.500973862963123
UNSGA3-greedy_multi-UX,1.4999121350201774
UNSGA3-greedy_multi-UX,1.498281129138221
UNSGA3-greedy_multi-HUX,1.5008826713637367
UNSGA3-greedy_multi-HUX,1.4968511025464484
UNSGA3-greedy_multi-HUX,1.5013177262791226
UNSGA3-greedy_multi-HUX,1.5045374507974374
UNSGA3-greedy_multi-HUX,1.506261181891032
UNSGA3-greedy_multi-1P,1.5096334679872117
UNSGA3-greedy_multi-1P,1.5079664234964787
UNSGA3-greedy_multi-1P,1.5061961957621222
UNSGA3-greedy_multi-1P,1.5123962520057628
UNSGA3-greedy_multi-1P,1.503672744601355
UNSGA3-greedy_multi-2P,1.503205472042017
UNSGA3-greedy_multi-2P,1.506999320138412
UNSGA3-greedy_multi-2P,1.505438782821146
UNSGA3-greedy_multi-2P,1.5095248227506206
UNSGA3-greedy_multi-2P,1.5041648178546492
AGEMOEA2-random_dense-UX,1.3632021951575055
AGEMOEA2-random_dense-UX,1.3565421522271324
AGEMOEA2-random_dense-UX,1.363785557304089
AGEMOEA2-random_dense-UX,1.3667940613515657
AGEMOEA2-random_dense-UX,1.351656860756477
AGEMOEA2-random_dense-HUX,1.361693435106701
AGEMOEA2-random_dense-HUX,1.3527533225701767
AGEMOEA2-random_dense-HUX,1.3668883128802753
AGEMOEA2-random_dense-HUX,1.3711230766473492
AGEMOEA2-random_dense-HUX,1.3746069700220627
AGEMOEA2-random_dense-1P,1.4304969603578817
AGEMOEA2-random_dense-1P,1.4398467820045815
AGEMOEA2-random_dense-1P,1.4487548794960066
AGEMOEA2-random_dense-1P,1.4392738146631348
AGEMOEA2-random_dense-1P,1.445648146548982
AGEMOEA2-random_dense-2P,1.4295191399197347
AGEMOEA2-random_dense-2P,1.4071019665262972
AGEMOEA2-random_dense-2P,1.4148698264329584
AGEMOEA2-random_dense-2P,1.397993239737693
