algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,Range,SumMin,MinSum,Hypervolume,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA2,random_sparse,1,1881793597,209.9726116657257,200,1.05381224783432,1.2720133247722494,1.6138170244153611,0.1323248390516576,0.2596685082872928,0.21404993885470602,51.64297872340425,0.06689505015985006
NSGA2,random_sparse,2,873183128,204.91734981536865,200,0.9575594154843053,1.3472833648688456,1.6523291638878423,0.11144303051913404,0.25984251968503935,0.20907818135359793,47.54212765957447,0.06158306691654724
NSGA2,random_sparse,3,994250158,215.0218107700348,200,0.8982307705324779,1.3894002158823786,1.674887112050555,0.09934704945869031,0.24390243902439024,0.19735619943671934,45.97332890070922,0.05955094417190313
NSGA2,random_sparse,4,1516152363,219.35567617416382,200,0.9107259103797396,1.3725740035485041,1.6551729859556714,0.10431858641220818,0.2589928057553957,0.2076152991124575,43.6329964539007,0.0565194254584206
NSGA2,random_sparse,5,1536702420,206.4027726650238,200,1.0365511224629842,1.2976647817783062,1.633687931604279,0.12395609205854656,0.25688073394495414,0.20040471984697963,48.7266134751773,0.06311737496784625
NSGA2,random_dense,1,637624354,219.09994769096375,200,1.860453370314913,0.6782217401568359,1.4322285035823747,0.2368674981911235,0.23450134770889489,0.2143631639842974,141.9828634751773,0.18391562626318306
NSGA2,random_dense,2,1776497532,185.54219675064087,200,1.9349260869735647,0.664611369703077,1.457230182299815,0.22563251353553418,0.22969187675070027,0.20876221440517287,142.22852836879431,0.18423384503729834
NSGA2,random_dense,3,1897564562,110.17737245559692,200,1.9944525953507055,0.6230975756824462,1.440883586837608,0.23958788219168511,0.23037974683544304,0.2138893380525706,137.91629875886528,0.1786480553871312
NSGA2,random_dense,4,271983120,219.27383184432983,200,1.8005275861337449,0.6828359573630228,1.4424688738152862,0.23509941408905394,0.23809523809523808,0.21876007929952843,143.0065868794326,0.18524169284900596
NSGA2,random_dense,5,292533177,206.53385591506958,200,1.9105269293801226,0.6656233613437199,1.4355652071569276,0.24616346558492658,0.2349570200573066,0.21578542726241068,132.5164095744681,0.1716533802778084
NSGA2,greedy_pure,1,863136333,209.70810770988464,200,0.16689880347244856,1.8800382625690892,1.931102018523794,0.004595386818291954,0.1724137931034483,0.08058775484085974,11.774760638297874,0.015252280619556831
NSGA2,greedy_pure,2,2002009511,113.06914830207825,200,0.1952220373382419,1.8579734072709668,1.914965451223829,0.006492409249248202,0.2,0.10081221695079953,12.556409574468084,0.01626477924153897
NSGA2,greedy_pure,3,2123076541,203.5687313079834,200,0.1671325306213537,1.8804784339239833,1.9328151725658773,0.004549277332333201,0.15384615384615385,0.07115208073699719,11.396959219858159,0.014762900543857718
NSGA2,greedy_pure,4,497495099,207.30210995674133,200,0.17379566241974911,1.8762985390105782,1.9310832781574507,0.0048648861891053465,0.1724137931034483,0.07214283676593274,12.030017730496454,0.015582924521368464
NSGA2,greedy_pure,5,518045156,117.45186233520508,200,0.16082178414524742,1.8920900860224126,1.9469421275388465,0.003469078913805186,0.13333333333333333,0.05385023256962707,12.135571808510639,0.01571965260169772
NSGA2,greedy_hybrid,1,1345085629,160.96004629135132,200,2.3876423830271225,0.5563527781905331,1.482113773508253,0.24988500406450026,0.24293785310734464,0.2027439764320782,97.8737189716312,0.12677942871972955
NSGA2,greedy_hybrid,2,336475160,133.6968560218811,200,2.3800757494233964,0.5722074583788045,1.4949832701149832,0.24053385377681646,0.23443223443223443,0.19544349278750217,100.0929565602837,0.12965408880865764
NSGA2,greedy_hybrid,3,457542190,109.28299689292908,200,2.4103056661065105,0.5494877856874881,1.489792124465139,0.24313306170740653,0.233502538071066,0.19850795924391262,96.67570035460994,0.12522759113291443
NSGA2,greedy_hybrid,4,979444395,202.3093614578247,200,2.4579216256227467,0.5389877885471438,1.5054512632389492,0.24429768373013677,0.23706896551724138,0.2023872756895706,100.89140070921985,0.1306883428875905
NSGA2,greedy_hybrid,5,999994452,202.8638231754303,200,2.4762298193936885,0.536278933409667,1.499881467766699,0.24536221675060182,0.2376237623762376,0.19904554264673557,101.72873670212766,0.13177297500275603
NSGA3,random_sparse,1,795769605,207.58643126487732,16,0.7053146178086199,1.4453822560634009,1.6447924572876962,0.09212683182783153,0.2740740740740741,0.23413946764098126,42.2457890070922,0.05472252462058575
NSGA3,random_sparse,2,1934642783,202.8813488483429,16,0.752819912028817,1.430117096442277,1.6513930604959626,0.09625867206511908,0.2638888888888889,0.22335077235997755,43.621176861702125,0.05650411510583177
NSGA3,random_sparse,3,2055709813,207.88224482536316,16,0.7537993163256189,1.4331085132764347,1.6422632020818038,0.09570561954323714,0.272,0.21460079931928752,42.86707668439716,0.055527301404659536
NSGA3,random_sparse,4,430128371,144.35883951187134,18,0.7566163528842489,1.4358777010944677,1.6590091929426338,0.09424471684635825,0.2638888888888889,0.21378614629687026,45.36244089834515,0.058759638469359
NSGA3,random_sparse,5,450678428,221.07869338989258,17,0.7256511041343078,1.4469265879346327,1.65824070141802,0.0923466443905885,0.2695035460992908,0.22399951760122389,43.437473925740505,0.056266157934897025
NSGA3,random_dense,1,1658309667,185.37996578216553,27,1.2036526996851735,0.9320015400392306,1.410393292953724,0.21488168249624168,0.2623574144486692,0.2153175451460974,144.21824927764644,0.1868112037275213
NSGA3,random_dense,2,649699198,221.3473024368286,26,1.1247256746325953,0.9475729596899458,1.4111947074789288,0.21126618040423784,0.2564935064935065,0.21459998711400063,144.47654118930714,0.18714577874262583
NSGA3,random_dense,3,770766228,221.13076043128967,22,1.1875945488336639,0.9281507735334551,1.4020446535394686,0.20250886290205228,0.24734982332155478,0.21877638918442815,143.43649258542877,0.1857985655251668
NSGA3,random_dense,4,1292668433,208.96131706237793,23,1.1372016867481123,0.9378647092821503,1.3928931312459776,0.2027120471585835,0.24396782841823056,0.20943540147025186,145.34902096823927,0.18827593389668298
NSGA3,random_dense,5,1313218490,198.3880512714386,15,1.1914522869210395,0.8971237830931824,1.383809808727049,0.21010491681769308,0.24836601307189543,0.22411587905924085,145.13847517730494,0.18800320618821884
NSGA3,greedy_pure,1,904594125,113.9795389175415,30,0.14769114044114792,1.9008679351962086,1.9537588872478795,0.0027420275758245974,0.15,0.04864496079097442,12.071187943262412,0.015636253812516078
NSGA3,greedy_pure,2,2043467303,155.14281916618347,20,0.13073798074938106,1.9069484686872282,1.9493606922203945,0.002681513561823116,0.125,0.035621745493069026,9.708466312056736,0.012575733564840331
NSGA3,greedy_pure,3,17050686,132.27651357650757,22,0.12669546460496417,1.9092047801205836,1.9498307989426882,0.0025704698885094315,0.13793103448275862,0.042697750477391744,9.960992907801419,0.012902840554146916
NSGA3,greedy_pure,4,538952891,215.0124728679657,23,0.1424328514030766,1.898666245527211,1.9430493631254289,0.003248684140713572,0.15625,0.05400675943277627,10.564022510021585,0.013683966981893246
NSGA3,greedy_pure,5,559502948,215.8761384487152,25,0.14041545605820988,1.901028683851328,1.9471985978574227,0.0030048143890079623,0.15,0.052574400350998814,10.673829787234043,0.013826204387608863
NSGA3,greedy_hybrid,1,1227223784,203.95279455184937,16,1.9174921721328795,0.8048591018388956,1.4628079639093134,0.22142733216522983,0.25102880658436216,0.20073973535798864,82.70678191489363,0.10713313719545807
NSGA3,greedy_hybrid,2,218613315,205.16622257232666,17,1.995002138138994,0.7837292009915883,1.478692536029377,0.2186616555709806,0.25146198830409355,0.1982422976329684,88.5397893199833,0.11468884626940842
NSGA3,greedy_hybrid,3,339680345,212.9248149394989,16,1.925023006006385,0.7984072714107368,1.5055677096054807,0.21346736505952704,0.25,0.18586607071033445,82.68024157801419,0.10709875852074377
NSGA3,greedy_hybrid,4,861582550,173.76199984550476,16,1.9531837269220982,0.7930083702186738,1.4792861163670015,0.21996430987005242,0.2540983606557377,0.19989682093443,83.60106382978722,0.10829153345827361
NSGA3,greedy_hybrid,5,882132607,146.24039506912231,16,1.850365140284877,0.8404629436805091,1.497498711418223,0.2127449258213155,0.25213675213675213,0.1932764054536612,81.2019060283688,0.10518381609892331
SPEA2,random_sparse,1,2122243316,311.87434554100037,200,0.6987502029338976,1.498916414610015,1.7190514266213264,0.09085418177107808,0.24444444444444444,0.1470345118800813,57.30686170212766,0.07423168614265241
SPEA2,random_sparse,2,1113632847,254.94021439552307,200,0.7912175220959798,1.4405364245511643,1.698922910956143,0.10421344414077713,0.23972602739726026,0.15604718707558005,58.05313829787234,0.07519836567081908
SPEA2,random_sparse,3,1234699877,311.5855042934418,200,0.7417341947224337,1.4464938471185973,1.667043248140291,0.11400206663760519,0.25735294117647056,0.16818289361330124,68.68513741134751,0.08897038524785947
SPEA2,random_sparse,4,1756602082,311.8403306007385,200,0.7551298321365582,1.43732144077215,1.659800178550096,0.10712110294920166,0.25157232704402516,0.15514134923934075,58.63219414893618,0.07594843801675671
SPEA2,random_sparse,5,1777152139,259.11343479156494,200,0.7358645632647496,1.444037156233453,1.6719674803458497,0.10903958572824717,0.25153374233128833,0.17397588547134646,63.94775265957447,0.08283387650203947
SPEA2,random_dense,1,751497741,313.92612195014954,200,1.0754919346313025,1.0791038786859999,1.4696749818808987,0.17482694250395395,0.2398753894080997,0.19885595677114554,146.73484042553193,0.19007103682063722
SPEA2,random_dense,2,1890370919,133.6952564716339,200,1.2468155342024563,1.0161260684477662,1.4676700770833822,0.18465348755311967,0.2340966921119593,0.19529521201638889,144.48511081560284,0.18715687929482233
SPEA2,random_dense,3,2011437949,287.95215463638306,200,1.195640501387905,1.0659191883094221,1.4930602644559006,0.15804997428943018,0.22727272727272727,0.18577501348919007,150.89967641843975,0.19546590209642456
SPEA2,random_dense,4,385856507,140.4883382320404,200,1.2095173507545978,1.0251899823900943,1.4715893281672874,0.16574242539707215,0.23303834808259588,0.19260079478355216,153.93000443262412,0.19939119745158565
SPEA2,random_dense,5,406406564,254.98392415046692,200,1.1657162256070759,1.073761762722688,1.4742382527126057,0.15923948520424977,0.23184357541899442,0.19359332874847646,151.90941489361703,0.19677385348914123
SPEA2,greedy_pure,1,1238293649,244.62739491462708,200,0.1673709754953813,1.880182261341295,1.9313108312480225,0.004997340550620759,0.17857142857142858,0.06887040779217213,13.579295212765956,0.01758976063829787
SPEA2,greedy_pure,2,229683180,271.3141026496887,200,0.16179018183722796,1.8782425896089334,1.9250265772305157,0.00545990260635667,0.1875,0.08279422570858364,13.042686170212765,0.016894671204938816
SPEA2,greedy_pure,3,350750210,127.58173847198486,200,0.15945627446463945,1.8877816718889615,1.9401893784641557,0.004198388797789497,0.15151515151515152,0.05763106251575669,13.42591755319149,0.01739108491346048
SPEA2,greedy_pure,4,872652415,265.2846610546112,200,0.18813809822099725,1.8644390825292254,1.9218120533925873,0.006158546212388243,0.19444444444444445,0.09629939240334957,14.014703014184397,0.01815376038106787
SPEA2,greedy_pure,5,893202472,265.6749498844147,200,0.18947475636520628,1.8644597206150706,1.9232836712497297,0.0060075817121730815,0.19444444444444445,0.08191491157451118,13.551467198581559,0.017553713987799948
SPEA2,greedy_hybrid,1,575824767,291.08741188049316,200,1.58232313986111,0.9995623700220867,1.5637451263726472,0.19572025032987245,0.23728813559322035,0.16659624275276763,112.96203457446809,0.14632387898247162
SPEA2,greedy_hybrid,2,1714697945,293.8921308517456,200,1.66614154594486,0.9534068765794451,1.5777736507240836,0.19465718805304355,0.22184300341296928,0.1568613362300409,102.37636524822693,0.1326118720831955
SPEA2,greedy_hybrid,3,1835764975,144.23190236091614,200,1.7267538495699752,0.9142388706194425,1.5452692875644836,0.20346332674050588,0.23076923076923078,0.1631733981690016,107.07155585106383,0.13869372519567855
SPEA2,greedy_hybrid,4,210183533,143.12469816207886,200,1.8170962262593817,0.8950376218634895,1.5588351776731946,0.20233824570354536,0.23076923076923078,0.1603133479590769,100.85364361702128,0.1306394347370742
SPEA2,greedy_hybrid,5,230733590,281.58924412727356,200,1.7452732052498532,0.9214125349293194,1.5886099380046854,0.19336736406519628,0.22012578616352202,0.15986203727325232,103.55816046099291,0.1341426948976592
MOEAD_TCHE,random_sparse,1,931603590,479.16380643844604,159,0.4627776457416084,1.654971504259028,1.7971513616825712,0.042353914080900466,0.25,0.20915162793864078,33.14143695080065,0.04292932247513038
MOEAD_TCHE,random_sparse,2,2070476768,479.070725440979,162,0.5451021890419604,1.563139468792161,1.7336812624646691,0.06724171981544223,0.26436781609195403,0.22705027604151107,43.34827291830838,0.05615061258848236
MOEAD_TCHE,random_sparse,3,44060151,496.6031594276428,163,0.4823315836856184,1.623544341770866,1.7755033965350562,0.052183631722186756,0.25,0.21530534585823952,38.68178653787582,0.05010594111123811
MOEAD_TCHE,random_sparse,4,565962356,486.5796859264374,163,0.519974914752151,1.6053776243377433,1.7632136862261727,0.05498969333409742,0.25842696629213485,0.22482237870160288,38.72756493930296,0.05016523955868259
MOEAD_TCHE,random_sparse,5,586512413,527.68621134758,160,0.502158819871852,1.6181903328673366,1.7751211841122696,0.05118588958448887,0.2564102564102564,0.21533147305425127,37.32840757978723,0.04835285955930989
MOEAD_TCHE,random_dense,1,1111954095,492.40209579467773,165,1.0679033597317475,1.0074736214960645,1.4283445612400545,0.19562013644216952,0.24615384615384617,0.2267925833734997,142.35721040189128,0.18440053160866746
MOEAD_TCHE,random_dense,2,103343626,320.08440017700195,164,0.9872038880493836,1.0501057306521924,1.4340582866908225,0.19031133096660252,0.24285714285714285,0.22269795309376575,140.83509016606124,0.18242887327210006
MOEAD_TCHE,random_dense,3,224410656,536.0905375480652,163,0.7651903696445683,1.1343238979690669,1.4335026250629075,0.1840271456469863,0.2415902140672783,0.22770569908024405,134.46807966758035,0.17418145034660668
MOEAD_TCHE,random_dense,4,746312861,536.4102928638458,163,0.8413498746247915,1.1109511932939524,1.4600086246849084,0.17032531319792088,0.2349570200573066,0.21703147179412552,142.6519873384676,0.1847823670187404
MOEAD_TCHE,random_dense,5,766862918,321.86806058883667,164,0.961088227942885,1.0208963665646633,1.411472134811586,0.2052629300309654,0.2523961661341853,0.2316467323064332,142.07093279709395,0.18402970569571755
MOEAD_TCHE,greedy_pure,1,1172541747,537.4400444030762,149,0.09992185877743534,1.9310998055258728,1.965275925631298,0.0013475061244354767,0.1111111111111111,0.035488515130897944,9.205536912751677,0.01192427061237264
MOEAD_TCHE,greedy_pure,2,163931278,507.0528972148895,155,0.12422222986925628,1.911870069663211,1.9514895226888287,0.00242586652860205,0.13043478260869565,0.07148351833695184,10.397912377030426,0.01346879841584252
MOEAD_TCHE,greedy_pure,3,284998308,510.7623543739319,162,0.1328157389923462,1.907055042983448,1.9507092923776623,0.0027681672383765496,0.16,0.07981466529628187,11.013773969004463,0.014266546591974693
MOEAD_TCHE,greedy_pure,4,806900513,546.9007298946381,150,0.10738591002446997,1.922772525455512,1.9564562396363796,0.0018185891290895151,0.13636363636363635,0.06655481703209666,9.743215130023643,0.012620744987077258
MOEAD_TCHE,greedy_pure,5,827450570,337.19861698150635,145,0.10965165472475942,1.9217213175128949,1.9566425301766945,0.001924296561063724,0.13043478260869565,0.06597377102658482,10.149284666177548,0.013146741795566772
MOEAD_TCHE,greedy_hybrid,1,927349490,331.1101791858673,162,1.8047676927175065,0.8790568622801259,1.5406819740080315,0.22054196361875833,0.25,0.19954332764440266,84.85100910603276,0.10991063355703726
MOEAD_TCHE,greedy_hybrid,2,2066222668,543.2105655670166,163,2.040413163246712,0.7537527092082217,1.4931253048985744,0.24472122774534755,0.256198347107438,0.21450175814399874,92.702508375756,0.12008096939864767
MOEAD_TCHE,greedy_hybrid,3,39806051,543.0211610794067,164,1.8723908936537095,0.8357635671439856,1.5114974666774634,0.23262961059219783,0.2578616352201258,0.2135115361165013,86.64280076976303,0.11223160721471895
MOEAD_TCHE,greedy_hybrid,4,561708256,502.20853972435,161,1.8431956843006838,0.8590128926677776,1.5328538363475421,0.22431612209815954,0.25161290322580643,0.20011362601958127,84.8408219902207,0.10989743781116672
MOEAD_TCHE,greedy_hybrid,5,582258313,504.244353055954,165,1.9373344434952842,0.7851841146994468,1.4789378566237352,0.24621972727492408,0.2582781456953642,0.2149175636956262,90.10993445089191,0.11672271301929005
MOEAD_PBI,random_sparse,1,530616496,531.0218780040741,155,0.1883501122363979,1.7753507726255422,1.8299477540438362,0.028272690674021175,0.2289156626506024,0.2128543025934656,33.27232326698695,0.04309886433547533
MOEAD_PBI,random_sparse,2,1669489674,562.244859457016,152,0.20920072127821956,1.77734406745802,1.8431921575754033,0.02619918647953567,0.22972972972972974,0.20273855827607665,32.35009565136245,0.041904268978448775
MOEAD_PBI,random_sparse,3,1790556704,562.953372001648,159,0.23583152182603412,1.7431433689685145,1.8183383800181576,0.03392207296845382,0.23943661971830985,0.21205169202369958,36.31507315223695,0.04704025019719812
MOEAD_PBI,random_sparse,4,164975262,562.7320833206177,150,0.2045568780685499,1.7651470487655012,1.8275094937857548,0.02968132533557901,0.23943661971830985,0.21412736276920336,34.30447399527188,0.04443584714413456
MOEAD_PBI,random_sparse,5,185525319,562.3062252998352,164,0.2629629836979274,1.7228200962546734,1.8023596070072672,0.038347964318074246,0.24691358024691357,0.22188621524090038,38.028330954852095,0.0492594960555079
MOEAD_PBI,random_dense,1,299406492,527.4874625205994,165,0.459982176027112,1.298190631656555,1.4647004571345064,0.14039453206046648,0.24022346368715083,0.22699460215821302,138.38158177519878,0.17925075359481707
MOEAD_PBI,random_dense,2,1438279670,352.420912027359,165,0.40943208803940134,1.3252114599002975,1.468997546812544,0.135744414135404,0.23714285714285716,0.22446177968033965,137.4364710939179,0.17802651696103355
MOEAD_PBI,random_dense,3,1559346700,527.1606485843658,164,0.4222585790951444,1.3151888300212489,1.4692645981408825,0.1322399778224489,0.23324396782841822,0.2203445239530322,138.39851453035806,0.17927268721548972
MOEAD_PBI,random_dense,4,2081248905,534.9966146945953,165,0.3235301884664564,1.3387230457462254,1.4626239994715151,0.12608579393976277,0.23743016759776536,0.2277478502136301,140.2229851708575,0.18163599115396048
MOEAD_PBI,random_dense,5,2101798962,475.03766107559204,165,0.41565077185035915,1.318929621556248,1.4744286046178905,0.1330962767323642,0.23415977961432508,0.22253823232007058,136.1976144422953,0.1764217803656675
MOEAD_PBI,greedy_pure,1,319719822,554.7648606300354,123,0.0634124726472849,1.9531616423132734,1.9742951052924713,0.0006205392375023182,0.06666666666666667,0.02456859700969797,7.909646543273943,0.010245656144137232
MOEAD_PBI,greedy_pure,2,1458593000,409.8542573451996,148,0.0698499960265838,1.9490170791935288,1.9735550326848246,0.0007418737189003074,0.07142857142857142,0.026793137250045986,8.684798495303816,0.011249738983554166
