algorithm,init,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_sparse,1,226426964,126.0,0.038461538461538464,3.0329698469943023,0.002161246080768509
NSGA2,random_sparse,1,226426964,126.0,0.038461538461538464,3.002217950613633,0.0022536087528016433
NSGA2,random_sparse,1,226426964,33.0,1.0,7.197215777262181,0.001564508550392739
NSGA2,random_sparse,1,226426964,43.0,0.5,5.915843395536042,0.0014055944762902351
NSGA2,random_sparse,1,226426964,30.0,1.0,3.6587739215050274,0.005092710481531769
NSGA2,random_sparse,1,226426964,13.0,1.0,1.9832296456586422,0.021930170163359613
NSGA2,random_sparse,1,226426964,8.0,1.0,2.0093520374081497,0.029180643874019058
NSGA2,random_sparse,1,226426964,35.0,1.0,6.323882748678519,0.0016606249788281022
NSGA2,random_sparse,1,226426964,31.0,0.5,3.6016067566175716,0.004840388991659556
NSGA2,random_sparse,1,226426964,47.0,0.3333333333333333,4.205616373155641,0.0026925812363554113
NSGA2,random_sparse,1,226426964,19.0,0.3333333333333333,2.5734870317002883,0.010232002297325626
NSGA2,random_sparse,1,226426964,11.0,1.0,1.98528,0.026743187045565654
NSGA2,random_sparse,1,226426964,53.0,0.25,3.361862452904459,0.0035374971893553484
NSGA2,random_sparse,1,226426964,10.0,1.0,1.9876651982378857,0.028829024885569293
NSGA2,random_sparse,1,226426964,27.0,0.25,2.389080640100408,0.010377469537713745
NSGA2,random_sparse,1,226426964,49.0,0.2,3.793027724402965,0.0028624658659884357
NSGA2,random_sparse,1,226426964,10.0,1.0,2.1634062140391253,0.021020540968764233
NSGA2,random_sparse,1,226426964,56.0,0.16666666666666666,3.927869667951747,0.002627190095802173
NSGA2,random_sparse,1,226426964,44.0,0.3333333333333333,5.161934477379096,0.0017242146394757481
NSGA2,random_sparse,1,226426964,12.0,1.0,1.989417989417989,0.02023524344851861
NSGA2,random_sparse,1,226426964,38.0,1.0,6.062800565770863,0.0016472818498598604
NSGA2,random_sparse,1,226426964,43.0,0.2,3.3292607591461323,0.004024122255788631
NSGA2,random_sparse,1,226426964,74.0,0.1,3.4691824944931633,0.0022959080448959894
NSGA2,random_sparse,1,226426964,48.0,0.3333333333333333,5.050746268656717,0.001798439429885599
