algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA2,random_sparse,1,226426964,130.97951793670654,200,0,1.8125304588988136,0.15489875350514912,0.37843659445293093,1.2095918693162022,0.20512820512820512,0.06440681610558559,0.32081169969750184,0.00041555919649935473
NSGA2,random_sparse,2,1068195377,132.54033160209656,200,0,1.8123038878164641,0.15333014271165749,0.34987926493363763,1.209510875425643,0.21568627450980393,0.06946225568893838,0.33565048219087695,0.00043478041734569555
NSGA2,random_sparse,3,1372352979,126.03128170967102,200,0,1.7645150952710182,0.14912643604020606,0.3652225597933999,1.2122510247555256,0.21323529411764705,0.06993656629780838,0.3314759416612846,0.0004293729814265344
NSGA2,random_sparse,4,350364150,126.57555866241455,200,0,1.7945688135769227,0.15199961051391706,0.3416238005935291,1.209859932650307,0.23333333333333334,0.06729296444532,0.3308912398997259,0.00042861559572503357
NSGA2,random_sparse,5,1424435044,126.77173209190369,200,0,1.6995687346832904,0.15446531491675183,0.33972117300038845,1.222423381191907,0.21428571428571427,0.08122484827623547,0.3456434429254445,0.00044772466700187115
NSGA2,random_dense,1,1129741368,126.38417673110962,200,0,0.5224262200315877,0.3448614550777899,0.3858890687373557,1.0376257193426057,0.2613065326633166,0.2196261040501152,0.37447168750122584,0.0004850669527217951
NSGA2,random_dense,2,1971509781,125.73228693008423,200,0,0.597998816248024,0.2895105118717891,0.3410496714106475,1.099217287793408,0.2446043165467626,0.21096088765439058,0.3742952373498929,0.0004848383903496022
NSGA2,random_dense,3,128183736,130.00360918045044,200,0,0.5297282541466609,0.3255801837225654,0.3728215183406768,1.0592134408114624,0.24870466321243526,0.21259505576083335,0.3703472783495012,0.0004797244538205974
NSGA2,random_dense,4,1253678554,69.32627034187317,200,0,0.5325474068838804,0.3248673873373852,0.36612643650144816,1.0600518348482364,0.25766871165644173,0.21541482165848655,0.3712992906794232,0.0004809576304137606
NSGA2,random_dense,5,180265801,126.51280236244202,200,0,0.5391220711085738,0.3331977066814372,0.42819962663445255,1.0479580284104888,0.24897959183673468,0.2032348791042368,0.37399205230335086,0.0004844456636053768
NSGA2,greedy_ting,1,1136821525,131.3491747379303,200,0,2.173617961039845,0.12529258403981422,0.3535287439331013,1.2425134033216982,0.2153846153846154,0.07852054347810665,0.3463718577380719,0.00044866820950527445
NSGA2,greedy_ting,2,1978589938,126.13493919372559,200,0,2.0760996902660835,0.12600015821499086,0.3573840167101779,1.2375701707970186,0.2155688622754491,0.08788316299183382,0.350538248452813,0.0004540650886694469
NSGA2,greedy_ting,3,135263893,125.98343324661255,200,0,2.325103751116038,0.12457726919560697,0.36151379021091445,1.2407497533976608,0.2122905027932961,0.08193559098322784,0.33392447924703106,0.0004325446622370869
NSGA2,greedy_ting,4,1260758711,131.4237380027771,198,2,2.18910877794734,0.12421781354374016,0.3702254450024497,1.2325592512206083,0.2080536912751678,0.07454115019156056,0.34279994334293434,0.00044404137738722065
NSGA2,greedy_ting,5,187345958,69.4333016872406,200,0,2.273391167707025,0.12538714519633715,0.3711703661924883,1.2349029093370838,0.20670391061452514,0.0781111024576354,0.33538685362703285,0.0004344389295686954
NSGA2,greedy_hybrid,1,1837202643,131.3716163635254,199,1,2.1034748384633732,0.1277301985828217,0.3673947356514776,1.2426381449481092,0.1986062717770035,0.08793701350753803,0.3449471143187227,0.0004468226869413507
