config,MaxToleranceRate
NSGA2-greedy_multi-2P,0.1891891891891892
NSGA2-greedy_multi-2P,0.24324324324324326
NSGA2-greedy_multi-2P,0.20588235294117646
NSGA2-greedy_multi-2P,0.21951219512195122
NSGA2-greedy_multi-2P,0.20512820512820512
NSGA3-random_dense-UX,0.27
NSGA3-random_dense-UX,0.2727272727272727
NSGA3-random_dense-UX,0.2672811059907834
NSGA3-random_dense-UX,0.27314814814814814
NSGA3-random_dense-UX,0.2722772277227723
NSGA3-random_dense-HUX,0.2764976958525346
NSGA3-random_dense-HUX,0.27403846153846156
NSGA3-random_dense-HUX,0.2719665271966527
NSGA3-random_dense-HUX,0.2688679245283019
NSGA3-random_dense-HUX,0.2780487804878049
NSGA3-random_dense-1P,0.23397435897435898
NSGA3-random_dense-1P,0.23333333333333334
NSGA3-random_dense-1P,0.23333333333333334
NSGA3-random_dense-1P,0.23469387755102042
NSGA3-random_dense-1P,0.23376623376623376
NSGA3-random_dense-2P,0.24914675767918087
NSGA3-random_dense-2P,0.24113475177304963
NSGA3-random_dense-2P,0.24758842443729903
NSGA3-random_dense-2P,0.24444444444444444
NSGA3-random_dense-2P,0.24233128834355827
NSGA3-greedy_ting-UX,0.24107142857142858
NSGA3-greedy_ting-UX,0.23853211009174313
NSGA3-greedy_ting-UX,0.23404255319148937
NSGA3-greedy_ting-UX,0.23897058823529413
NSGA3-greedy_ting-UX,0.25217391304347825
NSGA3-greedy_ting-HUX,0.24193548387096775
NSGA3-greedy_ting-HUX,0.23478260869565218
NSGA3-greedy_ting-HUX,0.24074074074074073
NSGA3-greedy_ting-HUX,0.256198347107438
NSGA3-greedy_ting-HUX,0.23333333333333334
NSGA3-greedy_ting-1P,0.20772946859903382
NSGA3-greedy_ting-1P,0.20816326530612245
NSGA3-greedy_ting-1P,0.21474358974358973
NSGA3-greedy_ting-1P,0.225
NSGA3-greedy_ting-1P,0.2222222222222222
NSGA3-greedy_ting-2P,0.22746781115879827
NSGA3-greedy_ting-2P,0.22794117647058823
NSGA3-greedy_ting-2P,0.21818181818181817
NSGA3-greedy_ting-2P,0.2323943661971831
NSGA3-greedy_ting-2P,0.21662468513853905
NSGA3-greedy_multi-UX,0.25
NSGA3-greedy_multi-UX,0.25
NSGA3-greedy_multi-UX,0.23529411764705882
NSGA3-greedy_multi-UX,0.2564102564102564
