config,GD+
NSGA3-random_dense-1P,0.7713585168418179
NSGA3-random_dense-1P,0.7765635823046891
NSGA3-random_dense-1P,0.7861025351674805
NSGA3-random_dense-1P,0.7685133971183619
NSGA3-random_dense-1P,0.7946692420730533
NSGA3-random_dense-2P,0.7519332255500136
NSGA3-random_dense-2P,0.7336044908797161
NSGA3-random_dense-2P,0.729837842549513
NSGA3-random_dense-2P,0.7401873096680691
NSGA3-random_dense-2P,0.757251194074594
NSGA3-greedy_ting-UX,0.3688990490341764
NSGA3-greedy_ting-UX,0.37413163740450983
NSGA3-greedy_ting-UX,0.36714643934027086
NSGA3-greedy_ting-UX,0.41572887151485455
NSGA3-greedy_ting-UX,0.3873126920975071
NSGA3-greedy_ting-HUX,0.4075260809624895
NSGA3-greedy_ting-HUX,0.3816805974402439
NSGA3-greedy_ting-HUX,0.4150363920571323
NSGA3-greedy_ting-HUX,0.4037537248192437
NSGA3-greedy_ting-HUX,0.44481368715630193
NSGA3-greedy_ting-1P,0.36901493829078535
NSGA3-greedy_ting-1P,0.35867200334779314
NSGA3-greedy_ting-1P,0.3675849488378663
NSGA3-greedy_ting-1P,0.37657761899492426
NSGA3-greedy_ting-1P,0.34947032585458976
NSGA3-greedy_ting-2P,0.4181171998273782
NSGA3-greedy_ting-2P,0.36951569982782884
NSGA3-greedy_ting-2P,0.32211397279503795
NSGA3-greedy_ting-2P,0.41304414799049133
NSGA3-greedy_ting-2P,0.3962514269212676
NSGA3-greedy_multi-UX,0.08884939812619366
NSGA3-greedy_multi-UX,0.12929521794262608
NSGA3-greedy_multi-UX,0.11442850910266565
NSGA3-greedy_multi-UX,0.11357154732525242
NSGA3-greedy_multi-UX,0.13896546527185444
NSGA3-greedy_multi-HUX,0.1260190171293619
NSGA3-greedy_multi-HUX,0.10967051239625054
NSGA3-greedy_multi-HUX,0.0841802967806695
NSGA3-greedy_multi-HUX,0.11145230900904293
NSGA3-greedy_multi-HUX,0.1301793731440409
NSGA3-greedy_multi-1P,0.10392106566884328
NSGA3-greedy_multi-1P,0.11026263569426163
NSGA3-greedy_multi-1P,0.10628457311739849
NSGA3-greedy_multi-1P,0.11175303387806562
NSGA3-greedy_multi-1P,0.13316372535303622
NSGA3-greedy_multi-2P,0.13858657128412485
NSGA3-greedy_multi-2P,0.14057309142522095
NSGA3-greedy_multi-2P,0.12622216795643315
NSGA3-greedy_multi-2P,0.13374578774710377
NSGA3-greedy_multi-2P,0.1683322683248956
UNSGA3-random_dense-UX,0.636476147294673
UNSGA3-random_dense-UX,0.6611271708757807
UNSGA3-random_dense-UX,0.6462354418771779
UNSGA3-random_dense-UX,0.6236052500325255
UNSGA3-random_dense-UX,0.6415639256631814
UNSGA3-random_dense-HUX,0.6507202784442486
UNSGA3-random_dense-HUX,0.628074938852452
UNSGA3-random_dense-HUX,0.6276077523447187
UNSGA3-random_dense-HUX,0.6195154199770919
UNSGA3-random_dense-HUX,0.6376116648954249
UNSGA3-random_dense-1P,0.7872628175820009
UNSGA3-random_dense-1P,0.7847955104581688
UNSGA3-random_dense-1P,0.7790052296452878
UNSGA3-random_dense-1P,0.7896290656970675
UNSGA3-random_dense-1P,0.7542917454147419
UNSGA3-random_dense-2P,0.7528757897342859
UNSGA3-random_dense-2P,0.7555363895554368
UNSGA3-random_dense-2P,0.7595628445677125
UNSGA3-random_dense-2P,0.7159975140728997
UNSGA3-random_dense-2P,0.7470308020841406
UNSGA3-greedy_ting-UX,0.39655179980158745
UNSGA3-greedy_ting-UX,0.39433538233023174
UNSGA3-greedy_ting-UX,0.36963128059676736
UNSGA3-greedy_ting-UX,0.3738960648277873
UNSGA3-greedy_ting-UX,0.3946874897796648
UNSGA3-greedy_ting-HUX,0.3468086038014636
UNSGA3-greedy_ting-HUX,0.37567849671801
UNSGA3-greedy_ting-HUX,0.3713239842141761
UNSGA3-greedy_ting-HUX,0.3727679701836448
UNSGA3-greedy_ting-HUX,0.3852438881466031
UNSGA3-greedy_ting-1P,0.3695640096027426
UNSGA3-greedy_ting-1P,0.3681812253560334
UNSGA3-greedy_ting-1P,0.35245043075088167
UNSGA3-greedy_ting-1P,0.38159462377419867
UNSGA3-greedy_ting-1P,0.4060246718513338
UNSGA3-greedy_ting-2P,0.35850466258013786
UNSGA3-greedy_ting-2P,0.3614284261897944
UNSGA3-greedy_ting-2P,0.42154970231007616
UNSGA3-greedy_ting-2P,0.3717276931458495
UNSGA3-greedy_ting-2P,0.3672250975607365
UNSGA3-greedy_multi-UX,0.09560900755475721
UNSGA3-greedy_multi-UX,0.14847855125816284
UNSGA3-greedy_multi-UX,0.12231953785942525
UNSGA3-greedy_multi-UX,0.1316952948000448
UNSGA3-greedy_multi-UX,0.12243793055614964
UNSGA3-greedy_multi-HUX,0.12217483044983536
UNSGA3-greedy_multi-HUX,0.15158067401955652
UNSGA3-greedy_multi-HUX,0.11231535127141001
UNSGA3-greedy_multi-HUX,0.11618616049197845
UNSGA3-greedy_multi-HUX,0.0989234803149592
UNSGA3-greedy_multi-1P,0.1252503765466992
UNSGA3-greedy_multi-1P,0.12967324126404758
UNSGA3-greedy_multi-1P,0.10526042186684763
UNSGA3-greedy_multi-1P,0.12289168193458522
UNSGA3-greedy_multi-1P,0.16773923674246619
UNSGA3-greedy_multi-2P,0.1316222688264552
UNSGA3-greedy_multi-2P,0.11160319645877642
UNSGA3-greedy_multi-2P,0.09868748326402045
UNSGA3-greedy_multi-2P,0.12024143816247143
UNSGA3-greedy_multi-2P,0.10019697194106678
AGEMOEA2-random_dense-UX,0.6750163384386659
AGEMOEA2-random_dense-UX,0.6353854271008944
AGEMOEA2-random_dense-UX,0.7057411302812079
AGEMOEA2-random_dense-UX,0.6830080920601387
AGEMOEA2-random_dense-UX,0.6692384613313221
AGEMOEA2-random_dense-HUX,0.707757368225068
AGEMOEA2-random_dense-HUX,0.6393916898849349
AGEMOEA2-random_dense-HUX,0.6715874940807441
AGEMOEA2-random_dense-HUX,0.7050682625245835
AGEMOEA2-random_dense-HUX,0.6555073679718544
AGEMOEA2-random_dense-1P,0.8087611733522716
AGEMOEA2-random_dense-1P,0.8043001047664646
AGEMOEA2-random_dense-1P,0.8310094239872542
AGEMOEA2-random_dense-1P,0.7750370794058499
AGEMOEA2-random_dense-1P,0.8041822267768699
AGEMOEA2-random_dense-2P,0.7864053485463124
AGEMOEA2-random_dense-2P,0.727315069689093
AGEMOEA2-random_dense-2P,0.7954346204857397
AGEMOEA2-random_dense-2P,0.7858332308751231
AGEMOEA2-random_dense-2P,0.7732889066268892
AGEMOEA2-greedy_ting-UX,0.38976242695146385
AGEMOEA2-greedy_ting-UX,0.3586577384152214
AGEMOEA2-greedy_ting-UX,0.38971050696927845
