algorithm,Average Ranking (Algorithm)
AGEMOEA2,2.111111111111111
UNSGA3,3.0
NSGA2,3.5555555555555554
NSGA3,3.7777777777777777
SMSEMOA,4.222222222222222
SPEA2,4.888888888888889
RVEA,6.444444444444445
