algorithm,init,crossover,Average Ranking Overall
AGEMOEA2,greedy_ting,HUX,22.77777777777778
AGEMOEA2,greedy_ting,UX,22.88888888888889
SMSEMOA,greedy_ting,HUX,24.0
SMSEMOA,greedy_ting,UX,24.88888888888889
SMSEMOA,greedy_ting,2P,26.22222222222222
NSGA3,random_dense,HUX,27.77777777777778
UNSGA3,random_dense,HUX,28.11111111111111
AGEMOEA2,random_dense,HUX,28.444444444444443
AGEMOEA2,random_dense,UX,28.444444444444443
SMSEMOA,greedy_ting,1P,28.77777777777778
UNSGA3,random_dense,UX,29.11111111111111
AGEMOEA2,greedy_ting,2P,29.333333333333332
NSGA3,random_dense,UX,29.444444444444443
NSGA2,random_dense,UX,30.0
NSGA2,random_dense,HUX,30.11111111111111
NSGA2,greedy_ting,HUX,30.555555555555557
NSGA2,greedy_ting,UX,31.22222222222222
SPEA2,random_dense,HUX,31.77777777777778
SPEA2,random_dense,UX,31.77777777777778
SMSEMOA,random_dense,HUX,32.44444444444444
SMSEMOA,random_dense,UX,33.333333333333336
NSGA2,greedy_ting,2P,34.111111111111114
AGEMOEA2,greedy_ting,1P,34.333333333333336
UNSGA3,greedy_ting,HUX,34.666666666666664
NSGA2,greedy_ting,1P,35.888888888888886
NSGA3,greedy_ting,UX,36.333333333333336
UNSGA3,greedy_ting,UX,36.55555555555556
NSGA3,greedy_ting,HUX,37.333333333333336
AGEMOEA2,greedy_multi,UX,37.666666666666664
AGEMOEA2,greedy_multi,HUX,38.22222222222222
UNSGA3,random_dense,2P,39.0
AGEMOEA2,random_dense,2P,39.22222222222222
UNSGA3,greedy_multi,UX,39.666666666666664
NSGA3,greedy_ting,2P,40.22222222222222
SPEA2,random_dense,2P,40.22222222222222
UNSGA3,greedy_multi,HUX,40.44444444444444
NSGA3,random_dense,2P,40.77777777777778
AGEMOEA2,greedy_multi,2P,41.111111111111114
UNSGA3,greedy_ting,2P,41.22222222222222
NSGA3,greedy_multi,UX,41.666666666666664
SPEA2,greedy_ting,HUX,41.888888888888886
NSGA3,greedy_multi,HUX,42.333333333333336
SMSEMOA,random_dense,2P,42.333333333333336
NSGA2,random_dense,2P,43.666666666666664
NSGA3,greedy_ting,1P,43.888888888888886
AGEMOEA2,greedy_multi,1P,44.0
AGEMOEA2,random_dense,1P,44.55555555555556
SPEA2,greedy_ting,UX,45.111111111111114
UNSGA3,random_dense,1P,45.666666666666664
SPEA2,random_dense,1P,45.77777777777778
UNSGA3,greedy_ting,1P,45.77777777777778
SMSEMOA,random_dense,1P,46.333333333333336
NSGA2,random_dense,1P,46.44444444444444
NSGA3,greedy_multi,2P,46.666666666666664
NSGA3,random_dense,1P,46.77777777777778
UNSGA3,greedy_multi,2P,46.888888888888886
SPEA2,greedy_multi,HUX,47.111111111111114
SPEA2,greedy_multi,UX,47.333333333333336
SPEA2,greedy_ting,2P,49.0
NSGA3,greedy_multi,1P,49.55555555555556
RVEA,random_dense,HUX,50.0
SPEA2,greedy_ting,1P,50.111111111111114
UNSGA3,greedy_multi,1P,50.55555555555556
RVEA,random_dense,UX,51.0
NSGA2,greedy_multi,UX,52.0
SMSEMOA,greedy_multi,UX,52.77777777777778
NSGA2,greedy_multi,HUX,53.0
RVEA,greedy_multi,UX,53.888888888888886
SPEA2,greedy_multi,2P,54.111111111111114
SPEA2,greedy_multi,1P,54.22222222222222
SMSEMOA,greedy_multi,HUX,54.44444444444444
RVEA,greedy_ting,2P,54.666666666666664
RVEA,greedy_ting,1P,55.111111111111114
RVEA,greedy_ting,HUX,55.55555555555556
RVEA,greedy_multi,HUX,56.0
RVEA,greedy_ting,UX,56.333333333333336
SMSEMOA,greedy_multi,2P,56.77777777777778
SMSEMOA,greedy_multi,1P,57.0
RVEA,greedy_multi,2P,58.111111111111114
RVEA,random_dense,2P,59.44444444444444
NSGA2,greedy_multi,2P,59.666666666666664
RVEA,greedy_multi,1P,61.0
RVEA,random_dense,1P,61.333333333333336
NSGA2,greedy_multi,1P,61.666666666666664
