algorithm,init,crossover,Range
NSGA2,random_dense,UX,0.2083949620506429
NSGA3,random_dense,UX,0.11530279686540586
MOEAD_TCHE,random_dense,UX,0.05971733883853444
NSGA2,greedy_multi,UX,0.0553789268596883
NSGA3,greedy_multi,UX,0.034574803194810995
MOEAD_TCHE,greedy_multi,UX,0.030435371631576447
