algorithm,init,crossover,IGD+
NSGA2,greedy_multi,UX,0.0013538381697323061
NSGA3,greedy_multi,UX,0.009665589665935965
MOEAD_TCHE,greedy_multi,UX,0.021833736815425255
NSGA3,random_dense,UX,0.38199819331818163
NSGA2,random_dense,UX,0.45044928692354685
MOEAD_TCHE,random_dense,UX,1.0018449280458317
