config,MinSum
NSGA3-random_dense-1P,1.498716347633743
NSGA3-random_dense-1P,1.4797990643673669
NSGA3-random_dense-1P,1.494635654749562
NSGA3-random_dense-1P,1.4829045725997878
NSGA3-random_dense-2P,1.4648268334405286
NSGA3-random_dense-2P,1.470060423840658
NSGA3-random_dense-2P,1.4676021435685922
NSGA3-random_dense-2P,1.4708414190045467
NSGA3-random_dense-2P,1.438148514385219
NSGA3-greedy_ting-UX,1.4729361196240256
NSGA3-greedy_ting-UX,1.4875387384434462
NSGA3-greedy_ting-UX,1.4680584175594482
NSGA3-greedy_ting-UX,1.4670031341979395
NSGA3-greedy_ting-UX,1.4708045788269186
NSGA3-greedy_ting-HUX,1.4562627647035875
NSGA3-greedy_ting-HUX,1.4732412087860314
NSGA3-greedy_ting-HUX,1.4913347292167942
NSGA3-greedy_ting-HUX,1.4537069183707367
NSGA3-greedy_ting-HUX,1.4802070515000691
NSGA3-greedy_ting-1P,1.509273609278225
NSGA3-greedy_ting-1P,1.5279633694947274
NSGA3-greedy_ting-1P,1.5180583441764999
NSGA3-greedy_ting-1P,1.5314466306402241
NSGA3-greedy_ting-1P,1.5099038252424397
NSGA3-greedy_ting-2P,1.4629485288842898
NSGA3-greedy_ting-2P,1.504718398016272
NSGA3-greedy_ting-2P,1.5051810158606687
NSGA3-greedy_ting-2P,1.4863818092960193
NSGA3-greedy_ting-2P,1.4943845424199642
NSGA3-greedy_multi-UX,1.8743244664440768
NSGA3-greedy_multi-UX,1.873946740970275
NSGA3-greedy_multi-UX,1.8742455730568786
NSGA3-greedy_multi-UX,1.8745828505077893
NSGA3-greedy_multi-UX,1.874327613283478
NSGA3-greedy_multi-HUX,1.8740070583772779
NSGA3-greedy_multi-HUX,1.8836663532011633
NSGA3-greedy_multi-HUX,1.8568894562045026
NSGA3-greedy_multi-HUX,1.881485164795586
NSGA3-greedy_multi-HUX,1.8650484950704493
NSGA3-greedy_multi-1P,1.895083919494746
NSGA3-greedy_multi-1P,1.9006080061444774
NSGA3-greedy_multi-1P,1.9014702696427357
NSGA3-greedy_multi-1P,1.901173865449618
NSGA3-greedy_multi-1P,1.8937288359296423
NSGA3-greedy_multi-2P,1.9081077503188724
NSGA3-greedy_multi-2P,1.9010250394289774
NSGA3-greedy_multi-2P,1.8922198017848817
NSGA3-greedy_multi-2P,1.8934606410930754
NSGA3-greedy_multi-2P,1.9005214476226637
UNSGA3-random_dense-UX,1.4263959552963161
UNSGA3-random_dense-UX,1.4279605077177737
UNSGA3-random_dense-UX,1.3881050424289834
UNSGA3-random_dense-UX,1.417145916319773
UNSGA3-random_dense-UX,1.4207803280690778
UNSGA3-random_dense-HUX,1.4191125147613552
UNSGA3-random_dense-HUX,1.4091075090905618
UNSGA3-random_dense-HUX,1.4291056663520354
UNSGA3-random_dense-HUX,1.4137191181962416
UNSGA3-random_dense-HUX,1.4231079353290117
UNSGA3-random_dense-1P,1.459879749746253
UNSGA3-random_dense-1P,1.5127181640585836
UNSGA3-random_dense-1P,1.4890020997087787
UNSGA3-random_dense-1P,1.4648226256117873
UNSGA3-random_dense-1P,1.5001259856511404
UNSGA3-random_dense-2P,1.4478057710339387
UNSGA3-random_dense-2P,1.4744435490167842
UNSGA3-random_dense-2P,1.4801109382859294
UNSGA3-random_dense-2P,1.4482541915070966
UNSGA3-random_dense-2P,1.455540355530178
UNSGA3-greedy_ting-UX,1.4903981100259187
UNSGA3-greedy_ting-UX,1.4687120590801008
UNSGA3-greedy_ting-UX,1.47942011952436
UNSGA3-greedy_ting-UX,1.4575860417434905
UNSGA3-greedy_ting-UX,1.4796102789461119
UNSGA3-greedy_ting-HUX,1.4731879695545804
UNSGA3-greedy_ting-HUX,1.4538515776495882
UNSGA3-greedy_ting-HUX,1.4786272587794245
UNSGA3-greedy_ting-HUX,1.4732999188948948
UNSGA3-greedy_ting-HUX,1.4817731088720925
UNSGA3-greedy_ting-1P,1.5266560263666344
UNSGA3-greedy_ting-1P,1.4969218067251893
UNSGA3-greedy_ting-1P,1.5225526203766087
UNSGA3-greedy_ting-1P,1.5015605395921245
UNSGA3-greedy_ting-1P,1.5089010769457942
UNSGA3-greedy_ting-2P,1.485972441498761
UNSGA3-greedy_ting-2P,1.5176258518989667
UNSGA3-greedy_ting-2P,1.4695663482592862
