conteo_alelos_1
247
213
248
229
242
257
197
178
219
219
237
209
242
226
190
213
230
232
215
217
222
226
221
221
220
195
208
205
257
241
221
246
226
246
245
216
221
238
218
200
202
216
241
218
213
200
209
222
