Compacidad,Tolerancia,Hamming,Balance
219.0,47.0,0.3618397616503125,0.003923722955131748
216.0,47.0,0.36721007354872603,0.004156542381279549
213.0,46.0,0.3641411114440782,0.003958784148633085
249.0,55.0,0.37231906348799454,0.004390907465442513
255.0,52.0,0.3574572382144347,0.003677514610142577
253.0,53.0,0.3523988730973005,0.0036175822856890734
241.0,52.0,0.37494482210647123,0.004070379724218524
241.0,52.0,0.36624142903387186,0.00405970814434936
241.0,52.0,0.3577219622730349,0.00377337090876057
241.0,52.0,0.35359833436332067,0.003561542787144505
234.0,52.0,0.3766934897254046,0.0041433793511812715
234.0,52.0,0.37057874158937987,0.0040540531390929006
234.0,52.0,0.3642897193429108,0.003857376369652717
234.0,52.0,0.35763320603746135,0.003645523354921678
231.0,51.0,0.3754029658284977,0.004193143142497327
229.0,53.0,0.3738966830809254,0.004153589103060847
229.0,53.0,0.3700021679209638,0.004006022961197224
227.0,52.0,0.3732581935201674,0.004177956718794042
225.0,52.0,0.37128447596532704,0.003984244526537841
224.0,51.0,0.37189716312056736,0.004053092903733852
297.0,63.0,0.35879778876232776,0.003994316800190307
295.0,63.0,0.35213968025003006,0.003719931314677702
263.0,61.0,0.38179556670172315,0.004370364116532414
278.0,57.0,0.3736032450635236,0.004013042728972137
278.0,57.0,0.3639311954691566,0.003882512655423081
278.0,57.0,0.35272526659523445,0.003817632268354433
270.0,59.0,0.3510211452587339,0.003578887994248221
254.0,58.0,0.38301013570112247,0.004408792150681854
264.0,54.0,0.37359969374597035,0.003989906661069745
264.0,54.0,0.36787086288416077,0.003918655932186286
264.0,54.0,0.3635692026649473,0.003794793892519532
264.0,54.0,0.35562741779497103,0.003587365730722874
247.0,56.0,0.3809472535676343,0.0042376906460245
253.0,53.0,0.37718302357525296,0.004115861242017993
255.0,52.0,0.37012585175914336,0.0038889341287504176
255.0,52.0,0.3649005701571409,0.003952888003497778
242.0,55.0,0.37863035578219334,0.004072094746797029
242.0,55.0,0.37445050114295764,0.004023581299786254
241.0,52.0,0.3784394220299579,0.0041718013831026505
237.0,52.0,0.37804111679683994,0.004297562162871013
293.0,67.0,0.37285479146999734,0.00415602190246378
305.0,66.0,0.36442855481920705,0.003934906343644979
305.0,66.0,0.35590338332752003,0.00370026664532766
276.0,63.0,0.38166499640250795,0.00433038510016701
276.0,63.0,0.3767505653201768,0.004181138099336903
276.0,63.0,0.3701626580326858,0.003966520441594397
276.0,63.0,0.36576536643026003,0.004116427446741619
282.0,62.0,0.3566721995875459,0.003743088045567727
270.0,59.0,0.3815175991594431,0.004324938620991751
274.0,58.0,0.37625860640886266,0.0041580424292663115
278.0,57.0,0.3699200214296648,0.003935554806998714
279.0,57.0,0.36109840107781077,0.003635200334902579
256.0,59.0,0.38284366688829785,0.004436126711574715
256.0,59.0,0.37889586103723405,0.0042128460393226225
256.0,59.0,0.37530820589539005,0.004172304543527371
252.0,57.0,0.3821695936057638,0.004375972027817846
252.0,57.0,0.3796401834965665,0.004136329306557661
305.0,68.0,0.3695616788745495,0.004004387784285058
305.0,68.0,0.36201313800720847,0.003919499054512757
306.0,68.0,0.35518935706670374,0.003748654401845964
286.0,64.0,0.3809080989932054,0.004236234096714272
289.0,64.0,0.3760552406194017,0.004109484453761004
297.0,63.0,0.36951369486830477,0.004095748679221622
297.0,63.0,0.36540045848556485,0.003943701826748315
274.0,62.0,0.38217955686700833,0.0043278931999913535
269.0,63.0,0.37739262833188325,0.00420362807894726
269.0,63.0,0.3740014237127264,0.004116687425989837
263.0,61.0,0.3796213898551897,0.004284850023974381
265.0,57.0,0.37885387394620634,0.0043230076623227524
309.0,69.0,0.36882014735247537,0.004017449719450927
309.0,69.0,0.3660343363400583,0.00390619893137895
289.0,66.0,0.3783927212937741,0.004147367001024185
299.0,65.0,0.3725301833534951,0.004036949655485877
281.0,63.0,0.3816852174351985,0.0042269664975060715
283.0,63.0,0.37910370147607947,0.004119624694032461
275.0,61.0,0.3809123146357189,0.004299525222595104
309.0,70.0,0.36607450251325485,0.003961656264235863
320.0,70.0,0.3611397384751773,0.003817019854253415
307.0,67.0,0.36972994201492365,0.004010106539708681
319.0,71.0,0.3616382089419507,0.003825093135078641
