tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,UNSGA3,random_dense,3,1739640901,208.0,55.0,0.41207634342607746,0.0034425244223737234
Pseudo-Weights Match,Global,UNSGA3,random_dense,2,966906498,265.0,69.0,0.4035460992907801,0.0035054485545349353
Mejor Knee Point,Global,AGEMOEA2,greedy_multi,3,937890272,37.0,9.0,0.5012698869081849,0.007725205637347936
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,157.0,31.0,0.3959603830690699,0.0029703562526192232
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,187.0,42.0,0.4083039405317253,0.003278069870040567
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,209.0,51.0,0.43889341341748955,0.0045966921804963395
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,199.0,39.0,0.3664198652838661,0.0022473582775152105
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,182.0,45.0,0.4189365598940067,0.0037917774104247745
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,199.0,49.0,0.43070850707437897,0.00398276405746486
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,300.0,72.0,0.39560283687943265,0.0031121464379726027
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,213.0,48.0,0.4166000732527553,0.0035376827479140223
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,251.0,53.0,0.37187067333502866,0.0024496818827974827
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,271.0,66.0,0.4211908874407893,0.004171438678740508
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,281.0,71.0,0.41596628050781154,0.003906514617204694
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,273.0,66.0,0.3891389343517003,0.0029136730891550504
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,179.0,40.0,0.3753268750742898,0.002430037370610491
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,225.0,47.0,0.3354688731284476,0.0018063491974780797
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,145.0,36.0,0.4233492296404989,0.003548850462570964
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,192.0,41.0,0.38045305112293143,0.0026799317789466585
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,183.0,40.0,0.36478800914622334,0.00239821407855858
Mejor Knee Point,Local,SPEA2,random_dense,4,150833957,300.0,68.0,0.358693853427896,0.0023975453601707943
Compromise (ASF),Local,SPEA2,random_dense,4,150833957,280.0,62.0,0.3629495947315096,0.0023615271307519466
Pseudo-Weights Match,Local,SPEA2,random_dense,4,150833957,236.0,58.0,0.385920032455824,0.002953760922604949
