algorithm,init,crossover,Average Ranking Overall
NSGA2,greedy_ting,HUX,20.77777777777778
NSGA2,greedy_ting,UX,22.11111111111111
SMSEMOA,greedy_ting,2P,24.11111111111111
UNSGA3,random_dense,UX,25.77777777777778
NSGA2,random_dense,UX,26.555555555555557
NSGA2,random_dense,HUX,26.666666666666668
SMSEMOA,greedy_ting,HUX,26.88888888888889
SMSEMOA,greedy_ting,UX,27.333333333333332
UNSGA3,random_dense,HUX,27.444444444444443
NSGA2,greedy_ting,2P,28.555555555555557
NSGA3,random_dense,HUX,28.555555555555557
NSGA3,random_dense,UX,29.0
UNSGA3,greedy_ting,HUX,29.0
UNSGA3,greedy_ting,UX,30.88888888888889
AGEMOEA2,random_dense,HUX,31.22222222222222
AGEMOEA2,random_dense,UX,31.666666666666668
NSGA3,greedy_ting,UX,31.77777777777778
SMSEMOA,greedy_ting,1P,32.111111111111114
NSGA3,greedy_ting,HUX,32.22222222222222
SMSEMOA,random_dense,UX,33.111111111111114
NSGA2,greedy_ting,1P,33.666666666666664
SMSEMOA,random_dense,HUX,34.22222222222222
UNSGA3,greedy_ting,2P,34.333333333333336
SMSEMOA,random_dense,2P,34.77777777777778
AGEMOEA2,greedy_ting,UX,35.666666666666664
NSGA3,greedy_ting,2P,36.22222222222222
NSGA2,random_dense,2P,36.333333333333336
AGEMOEA2,greedy_ting,1P,36.666666666666664
AGEMOEA2,greedy_ting,2P,37.111111111111114
AGEMOEA2,greedy_ting,HUX,37.333333333333336
AGEMOEA2,random_dense,2P,37.888888888888886
UNSGA3,random_dense,2P,39.44444444444444
NSGA3,random_dense,2P,39.55555555555556
SPEA2,random_dense,HUX,39.666666666666664
NSGA2,greedy_multi,UX,40.0
UNSGA3,greedy_ting,1P,40.44444444444444
NSGA2,random_dense,1P,40.44444444444444
SMSEMOA,random_dense,1P,40.888888888888886
SPEA2,random_dense,UX,41.22222222222222
SPEA2,greedy_ting,HUX,41.333333333333336
NSGA2,greedy_multi,HUX,41.333333333333336
NSGA3,greedy_ting,1P,41.44444444444444
RVEA,random_dense,UX,42.77777777777778
AGEMOEA2,random_dense,1P,43.333333333333336
AGEMOEA2,greedy_multi,UX,43.5
AGEMOEA2,greedy_multi,HUX,43.666666666666664
SPEA2,greedy_ting,UX,44.333333333333336
SPEA2,greedy_ting,1P,44.55555555555556
NSGA2,greedy_multi,2P,44.77777777777778
SPEA2,greedy_multi,HUX,44.888888888888886
NSGA3,random_dense,1P,46.0
RVEA,random_dense,HUX,46.0
SPEA2,greedy_multi,UX,46.44444444444444
SPEA2,random_dense,2P,47.0
UNSGA3,random_dense,1P,47.22222222222222
NSGA2,greedy_multi,1P,47.55555555555556
AGEMOEA2,greedy_multi,2P,47.888888888888886
NSGA3,greedy_multi,HUX,47.94444444444444
SPEA2,greedy_ting,2P,48.44444444444444
SPEA2,random_dense,1P,48.44444444444444
UNSGA3,greedy_multi,UX,49.333333333333336
NSGA3,greedy_multi,UX,49.833333333333336
RVEA,greedy_ting,UX,49.888888888888886
RVEA,random_dense,2P,50.666666666666664
RVEA,greedy_ting,HUX,51.0
UNSGA3,greedy_multi,HUX,51.05555555555556
RVEA,random_dense,1P,51.333333333333336
AGEMOEA2,greedy_multi,1P,51.388888888888886
RVEA,greedy_ting,1P,53.666666666666664
SPEA2,greedy_multi,2P,53.77777777777778
UNSGA3,greedy_multi,2P,53.833333333333336
SPEA2,greedy_multi,1P,54.0
RVEA,greedy_ting,2P,55.55555555555556
NSGA3,greedy_multi,1P,56.111111111111114
UNSGA3,greedy_multi,1P,57.166666666666664
NSGA3,greedy_multi,2P,57.388888888888886
SMSEMOA,greedy_multi,1P,57.888888888888886
SMSEMOA,greedy_multi,2P,58.22222222222222
SMSEMOA,greedy_multi,HUX,58.22222222222222
SMSEMOA,greedy_multi,UX,59.55555555555556
RVEA,greedy_multi,HUX,64.55555555555556
RVEA,greedy_multi,UX,64.77777777777777
RVEA,greedy_multi,2P,64.88888888888889
RVEA,greedy_multi,1P,65.33333333333333
