algorithm,Average Ranking (Algorithm)
NSGA2,2.2222222222222223
UNSGA3,3.2222222222222223
AGEMOEA2,3.3333333333333335
NSGA3,4.0
SMSEMOA,4.111111111111111
SPEA2,5.333333333333333
RVEA,5.777777777777778
