config,time_seg
NSGA2-greedy_ting-UX,242.06085681915283
NSGA2-greedy_ting-UX,199.03168988227844
NSGA2-greedy_ting-UX,248.99494552612305
NSGA2-greedy_ting-UX,252.00925707817078
NSGA2-greedy_ting-UX,254.4307782649994
NSGA2-greedy_ting-HUX,228.320946931839
NSGA2-greedy_ting-HUX,235.2101321220398
NSGA2-greedy_ting-HUX,251.6712555885315
NSGA2-greedy_ting-HUX,237.25643348693848
NSGA2-greedy_ting-HUX,239.94400024414062
NSGA2-greedy_ting-1P,254.23620772361755
NSGA2-greedy_ting-1P,241.1373655796051
NSGA2-greedy_ting-1P,234.32429265975952
NSGA2-greedy_ting-1P,266.68561005592346
NSGA2-greedy_ting-1P,232.28658437728882
NSGA2-greedy_ting-2P,246.60733675956726
NSGA2-greedy_ting-2P,252.3252809047699
NSGA2-greedy_ting-2P,223.41636323928833
NSGA2-greedy_ting-2P,256.27821373939514
NSGA2-greedy_ting-2P,219.07145237922668
NSGA2-greedy_multi-UX,262.0303454399109
NSGA2-greedy_multi-UX,231.99638605117798
NSGA2-greedy_multi-UX,184.09183740615845
NSGA2-greedy_multi-UX,213.2819685935974
NSGA2-greedy_multi-UX,262.85729479789734
NSGA2-greedy_multi-HUX,229.7020332813263
NSGA2-greedy_multi-HUX,261.4177224636078
NSGA2-greedy_multi-HUX,249.96285104751587
NSGA2-greedy_multi-HUX,227.99553275108337
NSGA2-greedy_multi-HUX,228.6637887954712
NSGA2-greedy_multi-1P,261.23015570640564
NSGA2-greedy_multi-1P,266.9506368637085
NSGA2-greedy_multi-1P,251.00125408172607
NSGA2-greedy_multi-1P,261.50050926208496
NSGA2-greedy_multi-1P,275.351678609848
NSGA2-greedy_multi-2P,250.23352575302124
NSGA2-greedy_multi-2P,196.89148116111755
NSGA2-greedy_multi-2P,256.1468255519867
NSGA2-greedy_multi-2P,189.74786019325256
NSGA2-greedy_multi-2P,267.6878709793091
NSGA3-random_dense-UX,259.8499982357025
NSGA3-random_dense-UX,239.08522820472717
NSGA3-random_dense-UX,190.6418159008026
NSGA3-random_dense-UX,252.77892017364502
NSGA3-random_dense-UX,224.51635599136353
NSGA3-random_dense-HUX,207.80615210533142
NSGA3-random_dense-HUX,216.18543338775635
NSGA3-random_dense-HUX,180.30126118659973
NSGA3-random_dense-HUX,211.96254467964172
NSGA3-random_dense-HUX,234.78590631484985
NSGA3-random_dense-1P,254.5288441181183
NSGA3-random_dense-1P,254.43524050712585
NSGA3-random_dense-1P,254.8829960823059
NSGA3-random_dense-1P,216.47509098052979
NSGA3-random_dense-1P,223.37761187553406
NSGA3-random_dense-2P,261.085816860199
NSGA3-random_dense-2P,262.751984834671
NSGA3-random_dense-2P,215.3493869304657
NSGA3-random_dense-2P,171.06857466697693
NSGA3-random_dense-2P,179.78799486160278
NSGA3-greedy_ting-UX,247.3065164089203
NSGA3-greedy_ting-UX,249.772558927536
NSGA3-greedy_ting-UX,214.96083784103394
NSGA3-greedy_ting-UX,245.38180899620056
NSGA3-greedy_ting-UX,232.5819571018219
NSGA3-greedy_ting-HUX,183.49544024467468
NSGA3-greedy_ting-HUX,214.12153887748718
NSGA3-greedy_ting-HUX,244.105238199234
NSGA3-greedy_ting-HUX,231.13056445121765
NSGA3-greedy_ting-HUX,239.641943693161
NSGA3-greedy_ting-1P,253.92206454277039
NSGA3-greedy_ting-1P,186.5069272518158
NSGA3-greedy_ting-1P,234.87492609024048
NSGA3-greedy_ting-1P,256.1464276313782
NSGA3-greedy_ting-1P,259.65316438674927
NSGA3-greedy_ting-2P,249.81137657165527
NSGA3-greedy_ting-2P,238.33514380455017
NSGA3-greedy_ting-2P,222.83894395828247
NSGA3-greedy_ting-2P,253.6639494895935
NSGA3-greedy_ting-2P,248.94967079162598
NSGA3-greedy_multi-UX,239.77938985824585
NSGA3-greedy_multi-UX,259.4191370010376
NSGA3-greedy_multi-UX,227.25763630867004
NSGA3-greedy_multi-UX,259.27926754951477
NSGA3-greedy_multi-UX,244.47281646728516
NSGA3-greedy_multi-HUX,244.03573489189148
NSGA3-greedy_multi-HUX,259.6043689250946
NSGA3-greedy_multi-HUX,224.46717596054077
NSGA3-greedy_multi-HUX,224.47639679908752
NSGA3-greedy_multi-HUX,255.28712606430054
NSGA3-greedy_multi-1P,252.60505175590515
NSGA3-greedy_multi-1P,273.10530185699463
NSGA3-greedy_multi-1P,208.63961338996887
NSGA3-greedy_multi-1P,235.51360249519348
NSGA3-greedy_multi-1P,247.56523299217224
NSGA3-greedy_multi-2P,220.8395607471466
NSGA3-greedy_multi-2P,245.42637610435486
NSGA3-greedy_multi-2P,253.08500981330872
NSGA3-greedy_multi-2P,285.39154410362244
NSGA3-greedy_multi-2P,231.27747249603271
UNSGA3-random_dense-UX,220.6334249973297
UNSGA3-random_dense-UX,233.5702874660492
UNSGA3-random_dense-UX,254.41713571548462
UNSGA3-random_dense-UX,258.4989855289459
UNSGA3-random_dense-UX,261.0343644618988
UNSGA3-random_dense-HUX,251.85991740226746
UNSGA3-random_dense-HUX,250.00207495689392
UNSGA3-random_dense-HUX,247.33187675476074
UNSGA3-random_dense-HUX,179.53300404548645
UNSGA3-random_dense-HUX,172.3123288154602
UNSGA3-random_dense-1P,270.48651099205017
UNSGA3-random_dense-1P,249.74146103858948
UNSGA3-random_dense-1P,244.62132692337036
UNSGA3-random_dense-1P,259.35582399368286
UNSGA3-random_dense-1P,227.20317459106445
UNSGA3-random_dense-2P,250.02851057052612
UNSGA3-random_dense-2P,247.26067805290222
UNSGA3-random_dense-2P,234.42211294174194
UNSGA3-random_dense-2P,244.63175106048584
UNSGA3-random_dense-2P,239.986820936203
UNSGA3-greedy_ting-UX,237.4356245994568
UNSGA3-greedy_ting-UX,243.11529159545898
UNSGA3-greedy_ting-UX,213.55331659317017
UNSGA3-greedy_ting-UX,234.77670073509216
UNSGA3-greedy_ting-UX,246.87977290153503
UNSGA3-greedy_ting-HUX,226.44495224952698
