algorithm,init,crossover,AvgHammingDistance
MOEAD_TCHE,greedy_multi,UX,17.29857632285397
MOEAD_TCHE,greedy_multi,HUX,17.017203320072404
MOEAD_TCHE,greedy_multi,2P,15.5731633303349
MOEAD_TCHE,greedy_multi,1P,14.291010899623103
