tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,MOEAD_TCHE,random_dense,4,160820139,319.0,62.0,42902.95478723404,576.1329150633768
Pseudo-Weights Match,Global,SPEA2,greedy_ting,3,1035470267,321.0,46.0,42296.30319148936,649.3025470298271
Mejor Knee Point,Global,SMSEMOA,random_dense,4,1878188177,353.0,88.0,51203.776595744675,400.09291534631006
Compromise (ASF),Local,SPEA2,random_dense,1,890697159,385.0,72.0,58871.89273049645,635.2629952907295
Pseudo-Weights Match,Local,SPEA2,random_dense,1,890697159,383.0,65.0,57836.73492907802,588.8305786617875
Mejor Knee Point,Local,SPEA2,random_dense,1,890697159,378.0,81.0,54921.255319148935,496.8920954680351
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,432.0,90.0,73089.9574468085,736.8292559478912
Pseudo-Weights Match,Local,SPEA2,random_dense,3,771308447,326.0,48.0,42063.53723404255,482.43620086389
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,426.0,94.0,71819.14361702127,783.1551033335852
Compromise (ASF),Local,SPEA2,random_dense,1,890697159,441.0,79.0,73797.9095744681,673.8226164428366
Pseudo-Weights Match,Local,SPEA2,random_dense,1,890697159,424.0,88.0,69807.7659574468,690.7088544024441
Mejor Knee Point,Local,SPEA2,random_dense,1,890697159,295.0,40.0,35705.984042553195,408.1120888033806
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,427.0,86.0,70308.88120567375,650.8864462300708
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,364.0,71.0,52410.83687943262,496.12391227805534
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,392.0,61.0,61748.68794326241,650.1644024131086
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,395.0,67.0,62268.17819148936,631.1255210691104
Pseudo-Weights Match,Local,SPEA2,random_dense,1,890697159,413.0,71.0,69184.82269503546,869.1539409486452
Mejor Knee Point,Local,SPEA2,random_dense,1,890697159,426.0,73.0,71518.52659574468,736.0423637832604
Compromise (ASF),Local,SPEA2,random_dense,1,890697159,367.0,67.0,54471.5195035461,625.6608539560385
Pseudo-Weights Match,Local,SPEA2,random_dense,1,890697159,367.0,67.0,54471.5195035461,625.6608539560385
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,406.0,87.0,64915.00886524823,670.3201667106774
