crossover,Hypervolume,Hypervolume_std
UX,0.29577980139677085,0.18593344321389196
HUX,0.29532867218850284,0.18662748099324772
2P,0.2787028549918817,0.18112267309198674
1P,0.27056437871432065,0.17347830298817915
