crossover,SumMin,SumMin_std
UX,1.1958286831705935,0.46559935601351693
HUX,1.1958502010726602,0.4674681221509806
2P,1.244340885143622,0.46783514125490416
1P,1.2619886623518661,0.46000556000852244
