algorithm,GD+,GD+_std
SMSEMOA,0.008026340330703987,0.009606269997395625
NSGA2,0.01828712061580711,0.014019211448707856
NSGA3,0.020174240161779586,0.018712541645647902
UNSGA3,0.020342155672674493,0.018877739683773254
SPEA2,0.02471905301978961,0.01883268553447012
AGEMOEA2,0.02628270744635985,0.020031691695978574
RVEA,0.031723998661094634,0.025002577534587445
