algorithm,MaxToleranceRate,MaxToleranceRate_std
SMSEMOA,0.257305963512458,0.012516953687219702
AGEMOEA2,0.25486035320673744,0.02492321331644675
NSGA3,0.25107076251368127,0.019475048033502133
UNSGA3,0.2509795355024897,0.01940336100470673
NSGA2,0.24881103464215126,0.022165151624440795
SPEA2,0.24856187629749094,0.027295270100404848
RVEA,0.2128626035868899,0.031264242504268736
