algorithm,SumMin,SumMin_std
NSGA2,1.043365986879396,0.5351908249205776
AGEMOEA2,1.1754692422738313,0.457940952263215
UNSGA3,1.1779341075090004,0.4715519629767582
NSGA3,1.1791797600382532,0.47087695946456687
SPEA2,1.2396373893960593,0.4030150782746879
SMSEMOA,1.2565154412987751,0.45590812259793895
RVEA,1.499412828147483,0.3095683994896218
