crossover,IGD+,IGD+_std
UX,0.2395468939046575,0.19077722680649656
HUX,0.23989183760168817,0.18936318951739017
2P,0.2568705157681829,0.19551968979759038
1P,0.26357914844432856,0.1946942202387601
