algorithm,AvgHammingDistance,AvgHammingDistance_std
SPEA2,90.44338872813584,53.649148658702
NSGA2,85.42720588008356,50.48241419122483
AGEMOEA2,83.48669518769253,50.470895844468366
NSGA3,82.34680849421541,51.165991018405805
UNSGA3,82.13431229207902,50.94636313907689
SMSEMOA,80.65636407842703,52.72081660769336
RVEA,52.830616965271034,36.04531070699732
