algorithm,init,crossover,Hypervolume,Hypervolume_std
NSGA2,random_dense,HUX,0.532365406301462,0.006227694090803277
NSGA2,random_dense,UX,0.5303606294417128,0.006008417217157569
NSGA2,greedy_ting,HUX,0.4996015043937022,0.008361706043609278
NSGA2,greedy_ting,UX,0.49901678257571674,0.011378522364509683
UNSGA3,random_dense,UX,0.47751848781695283,0.006664730006039073
AGEMOEA2,random_dense,HUX,0.4774057702750159,0.009782371256791588
NSGA3,random_dense,HUX,0.4774011940508867,0.006701964982630976
UNSGA3,random_dense,HUX,0.47555175651247983,0.008038224805511276
NSGA3,random_dense,UX,0.475014704326688,0.007145931500969255
AGEMOEA2,random_dense,UX,0.4740480144944945,0.010694680025993353
NSGA2,greedy_ting,2P,0.46477791505879884,0.007336005650828219
AGEMOEA2,greedy_ting,2P,0.46042534247906547,0.007114007798921731
NSGA2,random_dense,2P,0.45327272990887346,0.007900518761472117
NSGA2,greedy_ting,1P,0.4482263222969837,0.00696909957527973
AGEMOEA2,greedy_ting,1P,0.4465639831662445,0.010828704944293636
AGEMOEA2,random_dense,2P,0.4419399955786456,0.00882601503156988
SPEA2,random_dense,HUX,0.4308892536345118,0.009299930214904665
SPEA2,random_dense,UX,0.42772903099424425,0.011598205421167747
AGEMOEA2,greedy_ting,HUX,0.425428326479092,0.010913148983530628
AGEMOEA2,greedy_ting,UX,0.4252737206181319,0.007354943286985886
NSGA2,random_dense,1P,0.42446996015824295,0.010671217917179919
UNSGA3,greedy_ting,2P,0.42269797855466806,0.010429941006449497
SMSEMOA,greedy_ting,2P,0.42069653462326195,0.010439011927115415
UNSGA3,random_dense,2P,0.4201064595240525,0.010949076718787051
NSGA3,random_dense,2P,0.41997391411088275,0.00862479520865537
NSGA3,greedy_ting,UX,0.41951066691816175,0.010237826655610325
NSGA3,greedy_ting,2P,0.41832770331535524,0.010887725514226657
UNSGA3,greedy_ting,UX,0.417533476514588,0.008111603388586767
NSGA3,greedy_ting,HUX,0.4175009765970719,0.010093946054058014
UNSGA3,greedy_ting,HUX,0.4168515267570574,0.008604724924859803
AGEMOEA2,random_dense,1P,0.41470761442666415,0.011781128650549403
SPEA2,greedy_ting,1P,0.41337189945203506,0.012270876699731736
SMSEMOA,random_dense,2P,0.4108809151041101,0.009442296599032602
SMSEMOA,greedy_ting,1P,0.410707123131015,0.008933200934087771
NSGA3,greedy_ting,1P,0.40673655036746303,0.007719734027769325
SPEA2,greedy_ting,HUX,0.4064605142403939,0.015671542556488678
UNSGA3,greedy_ting,1P,0.4054919578309974,0.010261569358228003
SMSEMOA,random_dense,HUX,0.4031597695915456,0.007397642294763673
SMSEMOA,random_dense,UX,0.4030605734940071,0.007480583830157293
SPEA2,random_dense,2P,0.40239536253400127,0.008904125569298047
SPEA2,greedy_ting,UX,0.4010401862756775,0.012442266023954304
SMSEMOA,greedy_ting,UX,0.39885288800724567,0.005632372618221995
NSGA3,random_dense,1P,0.39754489259328474,0.009382389649151146
SMSEMOA,greedy_ting,HUX,0.39736018445046234,0.007256704139980003
SPEA2,random_dense,1P,0.39704269627446465,0.009301204958647407
UNSGA3,random_dense,1P,0.39513161597476937,0.006852795146857234
SPEA2,greedy_ting,2P,0.39508249515371563,0.01638102105294744
SMSEMOA,random_dense,1P,0.377505744240235,0.007325732970587278
RVEA,random_dense,2P,0.28351213250860957,0.021147685224664058
RVEA,random_dense,1P,0.27783696983906814,0.017735829918777105
RVEA,random_dense,UX,0.2745328124167778,0.029641082504277497
RVEA,random_dense,HUX,0.26477215553089456,0.029535827562921706
RVEA,greedy_ting,UX,0.24973329416458356,0.010363669945565843
RVEA,greedy_ting,HUX,0.2371909858815362,0.028414783766328142
RVEA,greedy_ting,1P,0.20098863779226875,0.053318736182689674
RVEA,greedy_ting,2P,0.1600292296423614,0.029643698595517375
SPEA2,greedy_multi,HUX,0.062266933791200935,0.0047312635828314345
NSGA2,greedy_multi,HUX,0.06221209670779904,0.0038592112410322462
NSGA2,greedy_multi,UX,0.06160941026933311,0.003875743038298326
SPEA2,greedy_multi,UX,0.059768163643502216,0.005287927133393842
AGEMOEA2,greedy_multi,UX,0.054519710107825296,0.0033470313835776374
AGEMOEA2,greedy_multi,HUX,0.05437579662322708,0.004371145926744425
NSGA2,greedy_multi,2P,0.04963033370029175,0.002752504220726457
UNSGA3,greedy_multi,UX,0.0491978554157353,0.0032696517509062982
NSGA3,greedy_multi,HUX,0.048450837538334755,0.00385104338112109
UNSGA3,greedy_multi,HUX,0.04727173124327186,0.0028021716387417305
NSGA3,greedy_multi,UX,0.046797083857844514,0.0029402789878723787
NSGA2,greedy_multi,1P,0.0464189541595352,0.003529369523174612
SPEA2,greedy_multi,2P,0.0441388456151944,0.0036802044878215066
AGEMOEA2,greedy_multi,2P,0.04337499365562337,0.0032426264553237416
SPEA2,greedy_multi,1P,0.04260792322890065,0.0038840455922407365
AGEMOEA2,greedy_multi,1P,0.04068210970629004,0.0024519374562052905
NSGA3,greedy_multi,2P,0.040202380977768425,0.0021944795924600537
UNSGA3,greedy_multi,2P,0.03969017601838581,0.002640106059454972
UNSGA3,greedy_multi,1P,0.038852341291127204,0.0028570944050371186
NSGA3,greedy_multi,1P,0.03808674983194834,0.0024836619538962023
SMSEMOA,greedy_multi,UX,0.037037414846507286,0.001639875835100922
SMSEMOA,greedy_multi,HUX,0.03660001391818662,0.0012157883896311236
SMSEMOA,greedy_multi,2P,0.03435948409895856,0.0017081170792278976
SMSEMOA,greedy_multi,1P,0.033400722087438675,0.0017692650472001892
RVEA,greedy_multi,UX,0.02922092313245819,0.0017700428703506306
RVEA,greedy_multi,HUX,0.028785381440426607,0.001836939428345265
RVEA,greedy_multi,2P,0.02724503266689159,0.0016420754277844674
