crossover,AvgHammingDistance,AvgHammingDistance_std
UX,80.73485886645447,50.69824364883873
HUX,80.65813126966889,50.85277555392217
2P,78.84082545944392,51.17169022727948
1P,78.2378367620924,50.88674466233464
