algorithm,Hypervolume,Hypervolume_std
NSGA2,0.33933017041437097,0.20378469991463402
AGEMOEA2,0.31322878146752664,0.1886893931604043
UNSGA3,0.30049128028784045,0.18346573973420127
NSGA3,0.3004623045404742,0.18364747948923127
SPEA2,0.29023277540315356,0.1692514179309389
SMSEMOA,0.2803017806327478,0.17384065291299566
RVEA,0.1716103950139695,0.10979887484247694
