crossover,MaxToleranceRate,MaxToleranceRate_std
HUX,0.251171600795033,0.02512751907635747
UX,0.25094840287019005,0.02501987810125333
2P,0.24350805486828936,0.02772740712518633
1P,0.23977315818757247,0.028285107409092063
