algorithm,init,crossover,SumMin,SumMin_std
NSGA2,greedy_ting,UX,0.5326422094669269,0.03478517509925035
NSGA2,greedy_ting,HUX,0.5344073934393864,0.026024510929900567
NSGA2,greedy_ting,2P,0.5808683461209259,0.02084755982547471
NSGA2,greedy_ting,1P,0.615318647653788,0.02177673338377848
NSGA2,random_dense,HUX,0.632351736687925,0.024517972648145973
NSGA2,random_dense,UX,0.6372289198593396,0.02669399048807543
AGEMOEA2,greedy_ting,2P,0.665740579360367,0.040034933868595746
AGEMOEA2,greedy_ting,1P,0.6819858835267121,0.04310340641843747
UNSGA3,greedy_ting,2P,0.7059253888798349,0.03893827410267273
NSGA3,greedy_ting,2P,0.7222832373039052,0.04085636279017456
UNSGA3,greedy_ting,1P,0.7360017620981852,0.03276868853024784
NSGA3,greedy_ting,1P,0.7372288468718837,0.027945600669245063
SMSEMOA,greedy_ting,2P,0.7390104508619681,0.024770202928317452
NSGA3,greedy_ting,UX,0.7478966352617943,0.03475084675650673
SMSEMOA,greedy_ting,1P,0.7485165214648603,0.022394089230525226
UNSGA3,greedy_ting,UX,0.7494014338719504,0.0267549702136705
UNSGA3,greedy_ting,HUX,0.7516888673978294,0.03207117505071418
NSGA3,greedy_ting,HUX,0.7549991101219089,0.032918477052128366
SMSEMOA,greedy_ting,UX,0.7943276756879127,0.015503346793063299
SMSEMOA,greedy_ting,HUX,0.7959834475575618,0.01702891285955285
SPEA2,greedy_ting,HUX,0.8180409789496268,0.04889745605196538
AGEMOEA2,greedy_ting,HUX,0.8411403619454184,0.057728634951014546
SPEA2,greedy_ting,UX,0.8494784971661428,0.055092590875954514
AGEMOEA2,greedy_ting,UX,0.8565391367048051,0.038719926238679106
SPEA2,greedy_ting,1P,0.8740313749003941,0.040954665840306895
NSGA3,random_dense,HUX,0.8794979574645712,0.027201980800409763
UNSGA3,random_dense,UX,0.8812724648899338,0.022925216661659708
NSGA3,random_dense,UX,0.8877507410506866,0.025759596395139178
UNSGA3,random_dense,HUX,0.8889971877947154,0.026511813026778366
NSGA2,random_dense,2P,0.8957317598588567,0.029248527636668364
AGEMOEA2,random_dense,HUX,0.9076097683867094,0.03259860875537993
AGEMOEA2,random_dense,UX,0.9162684476046493,0.03049717544208009
SPEA2,greedy_ting,2P,0.9663723979154176,0.04332219419162539
AGEMOEA2,random_dense,2P,0.9695210712500254,0.031503074473157686
NSGA2,random_dense,1P,0.9910676579453407,0.034390658164059666
SPEA2,random_dense,HUX,1.0036325411997622,0.031037694745818644
SPEA2,random_dense,UX,1.0130466194004808,0.040629271584845285
NSGA3,random_dense,2P,1.0279464977857227,0.025311014797885934
UNSGA3,random_dense,2P,1.0296261873076304,0.03179691402223721
AGEMOEA2,random_dense,1P,1.0511839225856305,0.04027587149331039
SPEA2,random_dense,2P,1.0827379263616377,0.028756288189454214
SPEA2,random_dense,1P,1.0898207052043363,0.028821631037298755
SMSEMOA,random_dense,2P,1.092114873613098,0.027986741484191544
NSGA3,random_dense,1P,1.0922427262087453,0.029003037661298976
RVEA,greedy_ting,UX,1.0922990194673576,0.030185652473262076
UNSGA3,random_dense,1P,1.0972276152321772,0.025626032026692034
RVEA,greedy_ting,HUX,1.1351355969342438,0.08892774408762551
SMSEMOA,random_dense,HUX,1.137662435372319,0.02195292772218596
SMSEMOA,random_dense,UX,1.137893176774876,0.019473755445273192
SMSEMOA,random_dense,1P,1.1809769081849644,0.020340022897050055
RVEA,greedy_ting,1P,1.2436324142600865,0.1655367626350787
RVEA,random_dense,2P,1.3679152950195435,0.054846728833706386
RVEA,random_dense,UX,1.36979620520765,0.07186520907367368
RVEA,greedy_ting,2P,1.3794861615581389,0.09222344500829173
RVEA,random_dense,HUX,1.3937831844880526,0.07184583995066285
RVEA,random_dense,1P,1.3961771542025463,0.0470921177845809
NSGA2,greedy_multi,HUX,1.7451461284999488,0.0150460982903296
NSGA2,greedy_multi,UX,1.7475453773339116,0.015337578936949474
SPEA2,greedy_multi,HUX,1.7517711284824167,0.017557601910350922
SPEA2,greedy_multi,UX,1.7647245116544863,0.020487895975474336
AGEMOEA2,greedy_multi,UX,1.7763137076699576,0.013879679940828416
AGEMOEA2,greedy_multi,HUX,1.7770994241383922,0.01818546984984254
NSGA2,greedy_multi,2P,1.7969398018917415,0.011934875727523555
UNSGA3,greedy_multi,UX,1.799252561173658,0.014153467552859305
NSGA3,greedy_multi,HUX,1.8020488451471772,0.016524526310497476
UNSGA3,greedy_multi,HUX,1.8079816236593853,0.012466533671110001
NSGA3,greedy_multi,UX,1.8093729720647331,0.012839616135954942
NSGA2,greedy_multi,1P,1.811143863794663,0.015719113897259288
AGEMOEA2,greedy_multi,2P,1.8248964351033046,0.014781656962797107
SPEA2,greedy_multi,2P,1.828874854288405,0.01443388756316486
SPEA2,greedy_multi,1P,1.8331171372296056,0.016208102467584258
AGEMOEA2,greedy_multi,1P,1.837332169010004,0.011353470845535252
NSGA3,greedy_multi,2P,1.8393076320014015,0.010419831659904292
UNSGA3,greedy_multi,2P,1.8418549983085217,0.012521261459094319
UNSGA3,greedy_multi,1P,1.8459791994941832,0.013408681740545558
NSGA3,greedy_multi,1P,1.8495819191765086,0.012158137666251127
SMSEMOA,greedy_multi,UX,1.8542953680971261,0.008022329498221887
SMSEMOA,greedy_multi,HUX,1.8564117161907296,0.00596148758710928
SMSEMOA,greedy_multi,2P,1.868023735121546,0.008777680406614294
SMSEMOA,greedy_multi,1P,1.8729689866583377,0.009102282160576874
RVEA,greedy_multi,UX,1.8950566661740875,0.009625004570062297
RVEA,greedy_multi,HUX,1.8974647886677845,0.010194561843331697
RVEA,greedy_multi,2P,1.9059809581040696,0.009221797037461722
RVEA,greedy_multi,1P,1.9162264936862357,0.011545051264926123
