crossover,AvgToleranceRate,AvgToleranceRate_std
HUX,0.20110785106579354,0.028188187162147483
UX,0.20074905289420103,0.027969837684101218
2P,0.1860986102736933,0.03055092218705747
1P,0.1829269697352266,0.03037094485523117
