algorithm,IGD+,IGD+_std
NSGA2,0.21676754585649613,0.19036959171707077
AGEMOEA2,0.23354240530521678,0.19064771625035776
UNSGA3,0.2409379768867726,0.1950275403034501
NSGA3,0.2410225621017099,0.19737775459423154
SPEA2,0.2491097202742183,0.17181137184090434
SMSEMOA,0.2616615275578279,0.2072029452410589
RVEA,0.30676295452575847,0.18388479904182892
