algorithm,init,crossover,AvgToleranceRate,AvgToleranceRate_std
SMSEMOA,greedy_ting,HUX,0.24837653695841386,0.0036205002053217553
SMSEMOA,greedy_ting,UX,0.24721627630199647,0.00503010519222614
SMSEMOA,random_dense,UX,0.2435040806865513,0.002017748484153779
SMSEMOA,random_dense,HUX,0.2421737989913468,0.002003251513304975
SMSEMOA,random_dense,2P,0.23275401129645013,0.002870893893107277
SMSEMOA,random_dense,1P,0.22813749677776043,0.004135017635769893
RVEA,random_dense,HUX,0.2279138503145674,0.006820292135272826
RVEA,random_dense,UX,0.22744538455204152,0.004299895923437231
SMSEMOA,greedy_ting,2P,0.22491256592399872,0.005631267008334798
UNSGA3,random_dense,UX,0.2245672885161061,0.004671973238030302
NSGA3,random_dense,HUX,0.2241530723307155,0.004097502756563022
NSGA3,random_dense,UX,0.22414173643032576,0.005088175041369437
UNSGA3,random_dense,HUX,0.22407483791534039,0.0034377231244208254
NSGA2,random_dense,HUX,0.21873706008187865,0.003313414134651414
NSGA2,random_dense,UX,0.21766732651097506,0.00377387548164478
SMSEMOA,greedy_ting,1P,0.21524586428893064,0.006497966093969749
NSGA2,greedy_multi,HUX,0.21310864461057044,0.007212597972183907
NSGA2,greedy_multi,UX,0.21181306512601403,0.006230137664028111
NSGA2,greedy_ting,HUX,0.21131547454001406,0.003059587749185458
NSGA2,greedy_ting,UX,0.2099501725453129,0.002823454823822706
AGEMOEA2,random_dense,HUX,0.20975029709619034,0.0055565143857862235
NSGA2,random_dense,2P,0.20973892377476017,0.004060661413745643
NSGA2,greedy_multi,1P,0.20939955156107992,0.0056319244766207715
AGEMOEA2,random_dense,UX,0.20894645501447565,0.005391381975164803
NSGA2,greedy_multi,2P,0.20852554565958648,0.0057777618114088014
SMSEMOA,greedy_multi,1P,0.2079328285976466,0.01375223328389852
NSGA2,random_dense,1P,0.20715797133711328,0.004264987904299414
AGEMOEA2,greedy_multi,HUX,0.20598752486218858,0.01210716656380574
AGEMOEA2,greedy_multi,UX,0.20410513599654354,0.012303594724975282
SMSEMOA,greedy_multi,2P,0.20379673566826087,0.01077553748535291
RVEA,random_dense,2P,0.20320064075076683,0.005683221231338581
UNSGA3,greedy_multi,UX,0.20282933958072208,0.005031026580349792
UNSGA3,random_dense,2P,0.2023883911912002,0.005522887049606646
NSGA3,greedy_multi,HUX,0.20200101946013233,0.005388726825228081
NSGA3,random_dense,1P,0.20190758161168837,0.004669973378270055
NSGA3,random_dense,2P,0.20133310882424313,0.006777634303158488
RVEA,random_dense,1P,0.20014082737583352,0.0038813810699966263
UNSGA3,random_dense,1P,0.1997296104505248,0.004707287650975098
UNSGA3,greedy_multi,HUX,0.1997212255526973,0.008072942977267824
NSGA3,greedy_multi,UX,0.19895013506062678,0.006496132374498056
NSGA3,greedy_ting,HUX,0.19813102171227495,0.008662292536950783
AGEMOEA2,random_dense,2P,0.1977496333619439,0.006594567033572656
NSGA3,greedy_ting,UX,0.1970184822873895,0.005716143376002455
UNSGA3,greedy_ting,HUX,0.19584708439003937,0.006742307672346708
AGEMOEA2,random_dense,1P,0.19508579253222186,0.0059143954110050965
NSGA3,greedy_multi,2P,0.1947240786994991,0.00831259196457539
AGEMOEA2,greedy_multi,2P,0.19399858834008574,0.01249388168074465
UNSGA3,greedy_multi,2P,0.19388001620343828,0.007983602425493163
SMSEMOA,greedy_multi,UX,0.1937132749287213,0.008035560399091063
UNSGA3,greedy_ting,UX,0.19314475329881214,0.008007845015680118
SMSEMOA,greedy_multi,HUX,0.19263022721634473,0.007904900443168132
NSGA3,greedy_multi,1P,0.1922133059345852,0.006614315681199322
AGEMOEA2,greedy_multi,1P,0.1915938480869068,0.008509773165024357
SPEA2,random_dense,UX,0.19128320875004665,0.0055577969873956785
SPEA2,random_dense,HUX,0.19058195655290214,0.003705648031073375
UNSGA3,greedy_multi,1P,0.1897393378804909,0.01035777629634306
SPEA2,greedy_multi,UX,0.18894502400272473,0.005988916632091059
SPEA2,greedy_multi,HUX,0.1883882391100615,0.008568638637801102
NSGA2,greedy_ting,2P,0.1874467928011371,0.0039220044365201046
SPEA2,random_dense,2P,0.18600820753517172,0.005459589649551168
AGEMOEA2,greedy_ting,UX,0.1851707821767956,0.008747077946868126
AGEMOEA2,greedy_ting,HUX,0.18475990554509195,0.008752725404820453
SPEA2,random_dense,1P,0.18254678586909226,0.00797123548038351
SPEA2,greedy_multi,1P,0.1818800936658932,0.00835507418313319
SPEA2,greedy_multi,2P,0.18153450537358404,0.008112933076802142
NSGA2,greedy_ting,1P,0.1788496408911586,0.004431621095119769
SPEA2,greedy_ting,HUX,0.16575760789405322,0.005925095825401059
SPEA2,greedy_ting,UX,0.16467430076113174,0.007040596372164111
UNSGA3,greedy_ting,2P,0.16447144543457567,0.005781583851953598
NSGA3,greedy_ting,2P,0.16198251111415052,0.006185614170566894
AGEMOEA2,greedy_ting,2P,0.16145023403101758,0.011316337211114082
NSGA3,greedy_ting,1P,0.15755193690435634,0.0050429576297306685
SPEA2,greedy_ting,2P,0.1565016057331679,0.009117907225714017
AGEMOEA2,greedy_ting,1P,0.15591490917866951,0.011049907798243446
UNSGA3,greedy_ting,1P,0.15559963287631648,0.006157421833996076
SPEA2,greedy_ting,1P,0.14905741130762087,0.0065892615499106005
RVEA,greedy_multi,2P,0.14540257046107086,0.007282635642035301
RVEA,greedy_multi,1P,0.14283810744303155,0.005894293179663746
RVEA,greedy_ting,UX,0.14079731862246841,0.006563772166074093
RVEA,greedy_ting,HUX,0.140245311201319,0.008355919245217221
RVEA,greedy_multi,UX,0.13984656962844041,0.006099829373286244
RVEA,greedy_multi,HUX,0.13961017604552156,0.0078030168594363574
RVEA,greedy_ting,1P,0.09894382986883743,0.0101426723532721
RVEA,greedy_ting,2P,0.09627070356945026,0.0071614739436982044
