algorithm,init,crossover,Average Ranking Overall
AGEMOEA2,greedy_multi,UX,8.166666666666666
AGEMOEA2,greedy_multi,HUX,8.777777777777779
AGEMOEA2,greedy_multi,2P,9.055555555555555
NSGA2,greedy_multi,2P,10.555555555555555
AGEMOEA2,greedy_multi,1P,11.5
NSGA3,greedy_multi,2P,11.666666666666666
NSGA3,greedy_multi,HUX,11.722222222222221
NSGA2,greedy_multi,HUX,12.5
SPEA2,greedy_multi,2P,12.88888888888889
NSGA3,greedy_multi,1P,13.61111111111111
MOEAD_TCHE,greedy_multi,UX,14.555555555555555
SPEA2,greedy_multi,HUX,14.666666666666666
SMSEMOA,greedy_multi,1P,15.166666666666666
NSGA3,greedy_multi,UX,15.277777777777779
SMSEMOA,greedy_multi,2P,15.61111111111111
NSGA2,greedy_multi,UX,16.22222222222222
NSGA2,greedy_multi,1P,16.333333333333332
MOEAD_TCHE,greedy_multi,1P,16.333333333333332
MOEAD_TCHE,greedy_multi,2P,16.333333333333332
RVEA,greedy_multi,UX,17.166666666666668
SPEA2,greedy_multi,1P,17.61111111111111
RVEA,greedy_multi,HUX,17.72222222222222
RVEA,greedy_multi,2P,17.88888888888889
SPEA2,greedy_multi,UX,18.27777777777778
SMSEMOA,greedy_multi,UX,18.38888888888889
MOEAD_TCHE,greedy_multi,HUX,18.444444444444443
SMSEMOA,greedy_multi,HUX,18.833333333333332
RVEA,greedy_multi,1P,19.38888888888889
NSGA3,random_dense,HUX,29.333333333333332
SPEA2,random_dense,HUX,30.444444444444443
NSGA3,random_dense,UX,30.77777777777778
SPEA2,random_dense,UX,31.333333333333332
NSGA2,random_dense,UX,33.44444444444444
AGEMOEA2,random_dense,UX,33.77777777777778
NSGA2,random_dense,HUX,34.22222222222222
SMSEMOA,random_dense,UX,34.55555555555556
AGEMOEA2,random_dense,HUX,35.55555555555556
SMSEMOA,random_dense,HUX,35.77777777777778
SPEA2,random_dense,2P,39.333333333333336
AGEMOEA2,random_dense,2P,41.22222222222222
NSGA3,random_dense,2P,41.333333333333336
NSGA2,random_dense,2P,41.888888888888886
SMSEMOA,random_dense,2P,43.666666666666664
NSGA3,random_dense,1P,44.333333333333336
AGEMOEA2,random_dense,1P,45.77777777777778
SPEA2,random_dense,1P,46.44444444444444
NSGA2,random_dense,1P,48.55555555555556
MOEAD_TCHE,random_dense,UX,48.666666666666664
RVEA,random_dense,UX,48.77777777777778
SMSEMOA,random_dense,1P,49.22222222222222
MOEAD_TCHE,random_dense,HUX,49.333333333333336
RVEA,random_dense,HUX,49.44444444444444
RVEA,random_dense,1P,52.666666666666664
MOEAD_TCHE,random_dense,2P,53.44444444444444
RVEA,random_dense,2P,53.55555555555556
MOEAD_TCHE,random_dense,1P,54.44444444444444
