algorithm,Average Ranking (Algorithm)
NSGA3,2.0
AGEMOEA2,3.111111111111111
SPEA2,3.111111111111111
NSGA2,4.0
SMSEMOA,4.888888888888889
RVEA,5.333333333333333
MOEAD_TCHE,5.555555555555555
