generation,algorithm,init,crossover,run,seed,n_solutions,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
1,NSGA2,greedy_multi,UX,4,1466582928,180,0.08330612589239668,1.9262560074651103,1.948328492482239,0.023803484553837385,1.3290331726589777e-05,0.01292838425944491,0.18181818181818182,0.11503015273913107,6.775576241134753,0.00877665316209165
11,NSGA2,greedy_multi,UX,4,1466582928,217,0.14080179855754385,1.887392039476525,1.9278165503468943,0.03059971138579318,1.3290331726589777e-05,0.02221005180737725,0.19230769230769232,0.09848116752250144,9.328933392162629,0.012084110611609623
21,NSGA2,greedy_multi,UX,4,1466582928,218,0.18010813727914612,1.8579865567438953,1.908421249713299,0.036328005454689,1.3290331726589777e-05,0.028533797804261046,0.23333333333333334,0.11705216567226692,11.051536371917495,0.014315461621654786
31,NSGA2,greedy_multi,UX,4,1466582928,218,0.1893063119654996,1.849823999209749,1.9003744910801457,0.03803475463438835,1.3290331726589777e-05,0.034045000361171425,0.24324324324324326,0.13236355869402905,12.507803858416294,0.01620181846945116
41,NSGA2,greedy_multi,UX,4,1466582928,219,0.22562228394061357,1.8224564751911179,1.88369224294064,0.043839465956708054,1.3290331726589777e-05,0.038989412697943,0.25,0.14563869402158058,13.803827034554226,0.01788060496703915
51,NSGA2,greedy_multi,UX,4,1466582928,219,0.24036467075494375,1.8146928229473143,1.8819124839507,0.04556208305180483,1.3290331726589777e-05,0.04398813353061998,0.24444444444444444,0.15267412453474966,15.094586936105442,0.01955257375143192
61,NSGA2,greedy_multi,UX,4,1466582928,219,0.2664467965134787,1.7932416178484032,1.865575000352013,0.050442119655339554,1.3290331726589777e-05,0.04570798595839032,0.2608695652173913,0.15782798725466496,15.535035946759935,0.02012310355797919
71,NSGA2,greedy_multi,UX,4,1466582928,219,0.2814592981948616,1.7814086550793515,1.8567869600131865,0.053244733640493036,1.3290331726589777e-05,0.04951233470324639,0.2558139534883721,0.16293082616305038,16.51975857378801,0.021398651002316076
81,NSGA2,greedy_multi,UX,4,1466582928,219,0.28531898568011355,1.7794122873595162,1.8566539120587682,0.05373057330965086,1.3290331726589777e-05,0.050035331563321066,0.2608695652173913,0.16235484012499288,16.652563230674566,0.021570677759941148
91,NSGA2,greedy_multi,UX,4,1466582928,219,0.28531898568011355,1.7794122873595162,1.8566539120587682,0.05373154423712995,1.3290331726589777e-05,0.051369550916923044,0.25925925925925924,0.16154871766949988,17.003639204637455,0.022025439384245407
