algorithm,init,crossover,Range_mean,Range_std,MinSum_mean,MinSum_std,SumMin_mean,SumMin_std,MaxToleranceRate_mean,MaxToleranceRate_std,AvgToleranceRate_mean,AvgToleranceRate_std,AvgHammingDistance_mean,AvgHammingDistance_std,Hypervolume_mean,Hypervolume_std,IGD+_mean,IGD+_std,GD+_mean,GD+_std,elapsed_sec_mean,elapsed_sec_std,n_solutions_final_front_mean,n_solutions_final_front_std,n_infeasible_final_front_mean,n_infeasible_final_front_std
AGEMOEA2,greedy_multi,1P,0.3636765615415212,0.03114342777461905,1.5076055326142013,0.0034523932648448425,1.4527157891003752,0.006929725466860479,0.28253448379484475,0.006935649962343124,0.18496793274018627,0.006883174304105685,10.66091802346668,0.4740389479441433,0.12040182407456343,0.004125231202904512,0.2628260574095142,0.0,0.0033576117450156446,0.0,0.0,0.0,219.96774193548387,0.17960530202677985,0.03225806451612903,0.17960530202677488
AGEMOEA2,greedy_multi,2P,0.38251213339143375,0.030352642743332086,1.5044427890198164,0.003587538994590422,1.44472683360206,0.0062834367509990675,0.2842762756742711,0.005389463378649142,0.18757204324881566,0.0045780913585229425,11.410624259062832,0.44666864614954777,0.12558199463251302,0.003757801553963844,0.26189540583216225,0.0,0.003807358222175332,0.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_multi,HUX,0.3820785799604274,0.030894958372011182,1.498847864772425,0.0029618370016242543,1.433224905792724,0.008230885030954966,0.2865599458862192,0.005275577515945825,0.1918510004805387,0.004401187097105496,12.673334510594234,0.6660660427292432,0.1332289028979227,0.005363236085918955,0.25019475614270614,0.0,0.004083295795718804,0.0,0.0,0.0,219.96774193548387,0.1796053020267805,0.03225806451612903,0.17960530202677488
AGEMOEA2,greedy_multi,UX,0.37846532902232954,0.029642665713335837,1.497354516875155,0.003490701558719006,1.4312943928051014,0.008780585879885125,0.2866087159868418,0.005342066197493418,0.19208837866637307,0.004832839554180777,12.6588858583057,0.7531573087958267,0.1347213995399298,0.005497978950131959,0.24426106598500133,0.0,0.004052227138927559,0.0,0.0,0.0,219.90322580645162,0.3005371535187608,0.0967741935483871,0.30053715351876426
AGEMOEA2,greedy_ting,1P,1.5698196463168939,0.050614820031407326,1.5128912002888146,0.011584336569185366,0.8485846806459343,0.010416202249514162,0.23895480229634392,0.0067922876856339204,0.17351375172530936,0.005070771080896304,50.991661383171014,5.795454784655022,0.3862154480880588,0.004518019763730789,0.040403580962368284,0.0,0.02881275226719182,0.0,0.0,0.0,219.90322580645162,0.3962186862224267,0.0967741935483871,0.39621868622242934
AGEMOEA2,greedy_ting,2P,1.5544337821768164,0.04173986365207641,1.4896931210899802,0.01010853966601653,0.8427928661894273,0.013775434580228616,0.2432887569371163,0.00634438082780853,0.1803644621009525,0.00391492201715145,52.05305516713187,3.780176323553476,0.39878519561706977,0.004669536750588053,0.03364846232026669,0.0,0.02604016811082094,0.0,0.0,0.0,219.96774193548387,0.17960530202677596,0.03225806451612903,0.1796053020267749
AGEMOEA2,greedy_ting,HUX,1.5472323602931206,0.0348842166010395,1.4349996119125645,0.007994833467786074,0.8612209567116849,0.018524150489152773,0.26757345501442026,0.004109353251783972,0.19588361102380958,0.0042525348155691535,50.494265926249454,2.6051256585709313,0.4065520621381501,0.005858128974918034,0.021821751090232995,0.0,0.013076765209171105,0.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_ting,UX,1.55024194674805,0.03604726391149893,1.4363685248681028,0.0093497221822513,0.8602582250237419,0.015962667914743767,0.2670884114144645,0.005901266140486726,0.1947544568506909,0.003997388943082263,49.39678927226971,1.5138219780675206,0.40700318304711586,0.006000125547555971,0.02066621368822685,0.0,0.012988786367876209,0.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,random_dense,1P,0.5615566821090889,0.046361568094410104,1.4450181038521313,0.00876336822002052,1.2574195890181128,0.017050056880148226,0.2414201262605705,0.004291799470537664,0.21809582689443735,0.005687431594650225,115.16826800087352,2.4124833478803334,0.3141825841494137,0.006462601225355247,0.2623429461607714,0.0,0.010629368854097997,0.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,random_dense,2P,0.6407312630302628,0.05461978740336,1.4219277281205673,0.010552586505073196,1.1987389016558943,0.018634342657917826,0.24895429405125682,0.004386931537977368,0.22151605366445834,0.005796457985587719,112.45284471438467,3.5721998507565282,0.3365383352995329,0.006046193407050075,0.22478720504860203,0.0,0.009587814658134916,0.0,0.0,0.0,219.93548387096774,0.24973103811470865,0.06451612903225806,0.24973103811470743
